,"The Astrophysical Journal, 774:42 (14pp), 2013 September 1",,,,,,,,,,Neilsen et al.
,,,,,Table 1,,,,,,
,,,,,2012 Chandra XVP Observations of Flares from Sgr A∗,,,,,,
ObsID,Obs Start,Exp.,Bkg.,Flare,Flare,Fluence,Peak Rate,Duration,# Subﬂares,F abs,Lunabs
,,,,,,,,,,2–8,2–10
,(MJD),(ks),Rate,Start,Stop,(counts),(counts s−1),(s),,,
13850,55963.026,60.06,5.9 ± 0.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
14392,55966.262,59.25,6.2 ± 0.6,55966.433,55966.464,"33+12
−11","0.021+0.011
−0.008",2600,1,0.8,1.7
,,,,55966.603,55966.666,"706+46
−44",0.23 ± 0.03,5450,4,8.5,19.2
14394,55967.136,18.06,"6.2+1.0
−0.9",. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
14393,55968.426,41.55,7.7 ± 0.7,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
13856,56001.365,40.06,5.6 ± 0.6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
13857,56003.373,39.56,6.8 ± 0.7,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
13854,56006.425,23.06,5.7 ± 1.0,56006.486,56006.493,"32+11
−9","0.06+0.03
−0.02",600,1,3.3,7.4
,,,,56006.524,56006.540,"40+12
−10","0.05+0.02
−0.01",1350,1,1.8,4.1
,,,,56006.580,56006.599,"49+13
−12","0.05+0.02
−0.01",1600,1,1.9,4.2
,,,,56006.678,56006.690,"49+13
−14","0.07+0.03
−0.02",950,1,3.1,7.1
14413,56007.281,14.72,"6.1+1.1
−1.0",. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
13855,56008.476,20.06,"6.7+1.0
−0.9",. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
14414,56009.742,20.06,6.3 ± 0.9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
13847,56047.678,154.07,6.0 ± 0.3,56048.510,56048.548,"59+16
−14","0.03+0.02
−0.01",3250,3,1.1,2.5
,,,,56048.679,56048.693,"15+8
−7","0.020+0.015
−0.010",1200,1,0.7,1.7
14427,56053.834,80.06,6.8 ± 0.5,56054.107,56054.154,"49+15
−13","0.03+0.02
−0.01",4050,2,0.7,1.6
13848,56056.502,98.16,6.2 ± 0.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
13849,56058.138,178.75,6.7 ± 0.3,56058.687,56058.705,"24+10
−11",0.03 ± 0.01,1600,1,0.9,2.0
,,,,56059.006,56059.044,"33+15
−11","0.017+0.010
−0.007",3250,1,0.6,1.4
,,,,56059.314,56059.329,"21+10
−8","0.03+0.02
−0.01",1250,1,1.0,2.3
,,,,56060.127,56060.168,"124+21
−19",0.06 ± 0.01,3500,1,2.2,4.9
13846,56063.445,56.21,"6.0+0.6
−0.5",. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
14438,56065.187,25.79,6.2 ± 0.8,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
13845,56066.446,135.31,6.3 ± 0.4,56067.863,56067.888,"102+18
−17",0.08 ± 0.02,2150,1,2.9,6.6
14460,56117.940,24.06,7.2 ± 0.9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
13844,56118.966,20.06,"6.0+1.0
−0.8",. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
14461,56120.242,50.96,7.0 ± 0.6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
13853,56122.026,73.66,5.2 ± 0.4,56122.650,56122.656,"8+6
−4","0.03+0.02
−0.01",500,1,1.0,2.3
13841,56125.880,45.07,"6.3+0.7
−0.6",. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
14465,56126.975,44.34,5.8 ± 0.7,56126.979,56127.038,"58+16
−15","0.03+0.02
−0.01",5100a,2,0.7,1.6
,,,,56127.172,56127.202,"26+11
−9","0.017+0.010
−0.007",2550,1,0.6,1.4
14466,56128.526,45.08,7.0 ± 0.7,56128.549,56128.553,"29+10
−9","0.06+0.03
−0.02",400,1,4.5,10.2
13842,56129.495,191.74,6.1 ± 0.3,56130.182,56130.225,"101+19
−17","0.06+0.03
−0.02",3700,4,1.7,3.8
,,,,56130.906,56130.921,46 ± 13,0.06 ± 0.02,1300,1,2.1,4.8
,,,,56131.494,56131.585,"119+23
−21","0.027+0.010
−0.008",7800,2,0.9,2.1
13839,56132.294,176.24,6.5 ± 0.3,56132.385,56132.399,38 ± 12,0.05 ± 0.02,1150,1,2.0,4.5
,,,,56133.512,56133.521,"14+8
−7","0.03+0.02
−0.01",750,1,1.2,2.6
,,,,56133.997,56134.042,"251+28
−26",0.14 ± 0.03,3950,2,3.9,8.9
13840,56134.835,162.50,"7.0+0.4
−0.3",. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
14432,56138.539,74.26,6.2 ± 0.5,56139.368,56139.417,"166+24
−22","0.08+0.03
−0.02",4250a,2,2.4,5.4
13838,56140.729,99.55,6.5 ± 0.4,56141.009,56141.035,"135+21
−23",0.10 ± 0.02,2250,1,3.7,8.4
13852,56143.109,156.55,6.2 ± 0.3,56143.314,56143.332,58 ± 15,"0.06+0.02
−0.01",1550,1,2.3,5.1
,,,,56144.321,56144.363,"33+14
−12","0.015+0.008
−0.006",3600,1,0.6,1.2
14439,56145.928,111.72,5.9 ± 0.4,56147.131,56147.151,"27+11
−10",0.03 ± 0.01,1750,1,0.9,2.1
14462,56206.689,134.06,5.8 ± 0.3,56207.174,56207.194,"30+11
−10","0.03+0.02
−0.01",1700,1,1.1,2.4
,,,,56208.187,56208.222,"54+15
−13","0.05+0.03
−0.02",2950,3,1.1,2.5
14463,56216.036,30.77,6.7 ± 0.8,56216.239,56216.248,"58+14
−12","0.11+0.04
−0.03",750,1,4.7,10.7
13851,56216.784,107.05,5.8 ± 0.4,56217.094,56217.098,"15+8
−6","0.03+0.02
−0.01",400,1,2.4,5.4
,,,,56217.816,56217.884,"372+34
−32","0.16+0.04
−0.03",5900,4,3.9,8.9
15568,56218.372,36.06,"6.9+0.8
−0.7",. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
13843,56222.667,120.66,6.1 ± 0.4,56223.384,56223.464,"193+26
−24",0.08 ± 0.01,6900,2,1.7,3.8
15570,56225.146,68.70,5.7 ± 0.5,56225.230,56225.263,"63+16
−14",0.05 ± 0.02,2800,2,1.4,3.1
14468,56229.988,146.05,5.5 ± 0.3,56230.288,56230.362,"74+19
−18","0.020+0.007
−0.004",6350,1,0.7,1.6
