obs_id,exposure_ks,num_flares
13841,45.071881,0
13846,56.173958,0
16508,47.873725,1
16966,25.071313,1
28231,22.896067,1
14438,25.795602,0
13848,98.16358,0
18058,25.067066,0
26757,24.596526,0
7559,5.075463,0
14462,126.206429,2
16597,18.153466,0
6644,5.050305,0
19726,31.07166,0
26759,25.395656,1
18056,24.027084,0
6643,5.047313,0
13016,18.06896,1
7557,5.047391,0
14465,44.346116,2
14439,111.727769,1
13849,178.754344,1
28230,25.097181,0
13847,154.072388,1
13840,162.510977,1
13017,11.098334,0
7556,5.044742,0
6642,1.344318,0
26760,25.496325,1
6645,5.182153,0
14463,30.772979,1
26758,25.09707,0
18057,25.065992,0
19727,30.655382,0
7558,5.047144,0
2952,12.015555,0
20347,36.071635,0
16215,45.704351,0
16212,50.075274,0
9174,29.177229,0
21455,33.072513,0
9173,28.133696,1
242,0.690264,0
2954,12.621406,0
20346,33.071071,1
2953,11.748366,0
14941,13.045989,0
14946,20.069813,0
6363,30.155595,1
21454,33.596874,2
9172,27.793504,0
21453,33.072035,0
16213,49.572162,0
16214,50.071349,0
10556,16.236776,4
18732,84.46573,1
4683,50.18261,0
4684,50.185568,1
15041,50.06671,2
5950,49.176216,0
11843,79.984413,1
9169,18.426477,0
22230,57.666042,1
5951,27.457168,0
23665,25.072504,1
13838,99.551738,1
20446,57.666541,1
20040,30.35787,0
13853,73.669895,0
13854,23.066832,4
19703,89.294428,2
25300,25.097258,0
19704,86.464198,0
20447,57.665704,0
13839,176.243375,2
15568,36.062053,0
13855,20.06367,0
20041,34.071579,1
13852,156.557665,2
14414,20.063766,0
14413,14.726595,0
14468,146.051892,2
6640,5.167342,0
22594,20.069813,1
14466,45.084266,1
7554,5.148538,0
14461,50.973939,0
22593,22.704664,0
18055,25.071808,2
13845,135.319179,1
13842,191.747321,3
3392,24.755309,3
14432,74.265313,2
16965,25.067749,0
28232,25.097102,0
22592,21.525021,1
6646,5.166574,0
14460,24.06259,0
7555,5.154917,0
6641,5.132558,0
22595,20.104724,3
15570,68.707021,1
22937,25.801237,1
16964,24.946393,0
16963,25.071793,1
13843,120.667602,1
22707,26.026,0
3393,106.56253,3
13844,20.064007,0
16211,46.074961,0
16216,47.066154,0
21456,33.072373,1
9170,27.14866,0
16218,40.066239,1
14943,20.068034,0
25297,25.916995,1
29496,27.2921,0
14944,20.068598,1
25299,23.096354,0
23738,21.702381,0
20344,32.072239,0
2951,12.536887,0
9171,19.210668,0
16217,38.06529,1
16210,18.76924,0
22288,26.667437,0
25298,25.097244,0
23739,21.702878,1
20345,31.474867,0
14945,20.067056,0
14942,20.094774,0
23737,22.703938,0
15045,50.065464,2
5953,45.95953,1
15042,49.420558,2
5954,18.062816,0
2943,38.183819,0
14394,18.065401,0
14393,41.549364,0
14703,18.568403,0
20750,26.767053,0
1561,36.257427,2
1561,5.230977,2
18731,86.467041,1
3663,30.974637,1
14702,15.071624,0
22604,33.073386,0
14392,59.253508,2
15043,50.064571,1
15044,47.064119,0
5952,29.564562,1
3665,5.613129,0
6113,4.922441,0
20751,26.766511,1
28229,25.096207,0
14427,80.070171,2
13857,39.558729,1
6639,4.551725,0
13850,60.066663,0
3549,25.11857,0
23666,25.071954,1
23668,25.07143,0
13851,107.05473,1
13856,40.067675,0
23295,16.957989,0
23667,25.956888,0
