obs_id,obs_date,exposure_ks,num_flares
13841,2012-07-17T21:15:09,45.071881,0
13846,2012-05-16T10:49:33,56.173958,0
16508,2014-02-21T11:34:27,47.873725,1
16966,2015-05-14T08:53:48,25.071313,1
28231,2024-04-08T07:28:07,22.896067,1
14438,2012-05-18T04:37:04,25.795602,0
13848,2012-05-09T12:10:32,98.16358,0
18058,2016-10-14T10:44:16,25.067066,0
26757,2023-04-13T06:11:32,24.596526,0
7559,2007-10-26T09:59:14,5.075463,0
14462,2012-10-06T16:30:38,126.206429,2
16597,2014-07-04T20:56:19,18.153466,0
6644,2006-08-22T05:58:28,5.050305,0
19726,2017-04-06T03:49:57,31.07166,0
26759,2023-04-18T06:15:44,25.395656,1
18056,2016-02-14T14:41:42,24.027084,0
6643,2006-07-30T14:36:48,5.047313,0
13016,2011-03-29T10:31:47,18.06896,1
7557,2007-07-20T02:34:16,5.047391,0
14465,2012-07-18T23:32:04,44.346116,2
14439,2012-08-06T22:23:45,111.727769,1
13849,2012-05-11T03:26:32,178.754344,1
28230,2024-04-06T07:18:46,25.097181,0
13847,2012-04-30T16:23:44,154.072388,1
13840,2012-07-26T20:09:41,162.510977,1
13017,2011-03-31T10:32:03,11.098334,0
7556,2007-05-17T01:12:11,5.044742,0
6642,2006-07-04T11:09:40,1.344318,0
26760,2023-04-20T04:42:31,25.496325,1
6645,2006-09-25T13:49:46,5.182153,0
14463,2012-10-16T00:49:58,30.772979,1
26758,2023-04-16T05:45:26,25.09707,0
18057,2016-10-08T19:04:30,25.065992,0
19727,2017-04-07T05:00:10,30.655382,0
7558,2007-09-02T20:22:05,5.047144,0
2952,2002-03-23T12:25:57,12.015555,0
20347,2018-04-25T03:42:26,36.071635,0
16215,2014-07-16T22:51:21,45.704351,0
16212,2014-04-04T02:28:54,50.075274,0
9174,2008-07-25T21:57:34,29.177229,0
21455,2019-03-31T05:22:00,33.072513,0
9173,2008-07-26T21:27:28,28.133696,1
242,1999-09-21T02:42:54,0.690264,0
2954,2002-05-07T09:31:32,12.621406,0
20346,2018-04-24T03:38:39,33.071071,1
2953,2002-04-19T11:04:12,11.748366,0
14941,2013-04-06T01:26:13,13.045989,0
14946,2013-07-02T06:57:56,20.069813,0
6363,2006-07-17T04:05:54,30.155595,1
21454,2019-03-30T05:36:23,33.596874,2
9172,2008-05-11T03:43:29,27.793504,0
21453,2019-03-29T04:05:11,33.072035,0
16213,2014-04-28T02:50:32,49.572162,0
16214,2014-05-20T00:26:35,50.071349,0
10556,2009-05-18T02:27:12,16.236776,4
18732,2016-07-18T12:08:57,84.46573,1
4683,2004-07-05T22:41:14,50.18261,0
4684,2004-07-06T22:37:58,50.185568,1
15041,2013-07-27T01:34:00,50.06671,2
5950,2005-07-24T20:05:20,49.176216,0
11843,2010-05-13T02:19:25,79.984413,1
9169,2008-05-05T03:59:26,18.426477,0
22230,2019-07-17T22:59:57,57.666042,1
5951,2005-07-27T19:14:54,27.457168,0
23665,2021-04-10T06:37:33,25.072504,1
13838,2012-08-01T17:36:43,99.551738,1
20446,2019-07-21T00:08:32,57.666541,1
20040,2017-04-12T05:21:53,30.35787,0
13853,2012-07-14T00:46:02,73.669895,0
13854,2012-03-20T10:13:47,23.066832,4
19703,2017-07-15T22:43:36,89.294428,2
25300,2022-03-25T07:23:38,25.097258,0
19704,2017-07-25T23:04:12,86.464198,0
20447,2019-07-26T01:40:35,57.665704,0
13839,2012-07-24T07:11:01,176.243375,2
15568,2012-10-18T08:52:36,36.062053,0
13855,2012-03-22T11:26:42,20.06367,0
20041,2017-04-11T03:54:45,34.071579,1
13852,2012-08-04T02:44:39,156.557665,2
14414,2012-03-23T17:50:41,20.063766,0
14413,2012-03-21T06:46:31,14.726595,0
14468,2012-10-29T23:37:59,146.051892,2
6640,2006-05-03T22:32:27,5.167342,0
22594,2021-06-19T23:47:34,20.069813,1
14466,2012-07-20T12:45:29,45.084266,1
7554,2007-02-11T06:12:13,5.148538,0
14461,2012-07-12T05:57:36,50.973939,0
