obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct
13841,13841_SGRA_TABLE_RESULTS.txt,,,,,,,,,,,,,,,
13846,13846_SGRA_TABLE_RESULTS.txt,,,,,,,,,,,,,,,
16966,16966_SGRA_TABLE_RESULTS.txt,1,57156.5078461703,57156.5423475553,2980.8864000000003,,,,,,,,,,,165.0
28231,28231_SGRA_TABLE_RESULTS_pileupcorr.txt,1,60408.569112426,60408.5897757658,1785.3695999999998,,,,,,,,,,,34.0
14438,14438_SGRA_TABLE_RESULTS.txt,,,,,,,,,,,,,,,
13848,13848_SGRA_TABLE_RESULTS.txt,,,,,,,,,,,,,,,
18058,18058_SGRA_TABLE_RESULTS.txt,,,,,,,,,,,,,,,
26757,26757_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
7559,07559_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
14462,14462_SGRA_TABLE_RESULTS.txt,1,56207.1782699449,56207.1892292311,946.8576,,,,,,,,,,,28.9992
14462,14462_SGRA_TABLE_RESULTS.txt,2,56208.1851883119,56208.2160148706,2663.4528,,,,,,,,,,,70.001
16597,16597_SGRA_TABLE_RESULTS.txt,,,,,,,,,,,,,,,
6644,06644_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
19726,19726_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
26759,26759_SGRA_TABLE_RESULTS_pileupcorr.txt,1,60052.4355408632,60052.4594135912,2062.6272,,,,,,,,,,,34.1407
18056,18056_SGRA_TABLE_RESULTS.txt,,,,,,,,,,,,,,,
6643,06643_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
13016,13016_SGRA_TABLE_RESULTS_pileupcorr.txt,1,55649.448992503,55649.4836964947,2998.4256,,,,,,,,,,,41.8751
7557,07557_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
14465,14465_SGRA_TABLE_RESULTS.txt,1,56126.9811903736,56127.0391365984,5006.5344,,,,,,,,,,,86.9997
14465,14465_SGRA_TABLE_RESULTS.txt,2,56127.1819307434,56127.2080320547,2255.1264,,,,,,,,,,,41.9995
14439,14439_SGRA_TABLE_RESULTS.txt,1,56147.1355061155,56147.1509915782,1337.904,,,,,,,,,,,35.9989
13849,13849_SGRA_TABLE_RESULTS.txt,1,56060.1421631247,56060.1703578731,2436.0480000000002,,,,,,,,,,,133.0012
28230,28230_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
13847,13847_SGRA_TABLE_RESULTS.txt,1,56048.5152617972,56048.5528192105,3244.9248000000002,,,,,,,,,,,76.9992
13840,13840_SGRA_TABLE_RESULTS.txt,1,56136.6320188671,56136.6591742431,2346.192,,,,,,,,,,,45.9994
13017,13017_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
7556,07556_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
6642,06642_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
26760,26760_SGRA_TABLE_RESULTS_pileupcorr.txt,1,60054.4141706355,60054.4676307197,4618.944,,,,,,,,,,,146.1407
6645,06645_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
14463,14463_SGRA_TABLE_RESULTS.txt,1,56216.2380469755,56216.2441176205,524.5344,,,,,,,,,,,61.0036
26758,26758_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
18057,18057_SGRA_TABLE_RESULTS.txt,,,,,,,,,,,,,,,
19727,19727_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
7558,07558_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
2952,02952_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
20347,20347_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
16215,16215_SGRA_TABLE_RESULTS.txt,,,,,,,,,,,,,,,
16212,16212_SGRA_TABLE_RESULTS.txt,,,,,,,,,,,,,,,
9174,09174_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
21455,21455_SGRA_TABLE_RESULTS_pileupcorr.txt,,,,,,,,,,,,,,,
