obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct,obs_setup
1561,01561_SGRA_TABLE_RESULTS_pileupcorr.txt,1,51844.1051536376,51844.1128804099,667.6128,0.0347,0.007,0.0391,0.0122,1.5086,0.3621,2.2597,0.5423,2.9958,0.719,23.1811,TE_002DC
1561,01561_SGRA_TABLE_RESULTS_pileupcorr.txt,2,51844.1539898371,51844.2795123523,10845.1872,0.0626,0.0024,0.1861,0.06,47.7706,2.0631,4.4048,0.1902,5.8396,0.2524,679.0,TE_002DC
3392,03392_SGRA_TABLE_RESULTS_pileupcorr.txt,1,52420.1758120228,52420.2104408491,2991.9456,0.0225,0.0027,0.0428,0.0128,4.0808,0.624,1.3639,0.2086,1.8082,0.2765,67.2137,TE_003B6
3392,03392_SGRA_TABLE_RESULTS_pileupcorr.txt,2,52420.568998866,52420.6309489083,5352.48,0.0126,0.0015,0.0315,0.0108,3.2254,0.637,0.6026,0.119,0.7989,0.1578,67.2694,TE_003B6
3392,03392_SGRA_TABLE_RESULTS_pileupcorr.txt,3,52421.2367785838,52421.2489758648,1053.8208,0.0297,0.0052,0.0314,0.0108,2.0272,0.422,1.9237,0.4005,2.5503,0.5309,31.3425,TE_003B6
3393,03393_SGRA_TABLE_RESULTS_pileupcorr.txt,1,52422.637211519,52422.6752940158,3290.3712,0.0787,0.0049,0.1796,0.054,18.7344,1.2404,5.6937,0.377,7.5484,0.4999,259.0,TE_003B6
3393,03393_SGRA_TABLE_RESULTS_pileupcorr.txt,2,52423.2387870099,52423.3009367529,5369.760000000000,0.0324,0.0024,0.0827,0.0202,11.4511,0.9993,2.1325,0.1861,2.8271,0.2468,174.0819,TE_003B6
3393,03393_SGRA_TABLE_RESULTS_pileupcorr.txt,3,52423.7816468181,52423.7936077478,1033.4304,0.0646,0.0076,0.0745,0.0186,4.7614,0.6013,4.6074,0.5818,6.1082,0.7714,66.7515,TE_003B6
3663,03663_SGRA_TABLE_RESULTS_pileupcorr.txt,1,52418.8011211186,52418.8559271925,4735.2384,0.0205,0.002,0.0427,0.0128,5.4287,0.7653,1.1465,0.1616,1.5199,0.2143,96.9218,TE_003B6
4684,04684_SGRA_TABLE_RESULTS_pileupcorr.txt,1,53193.1433966282,53193.1634999663,1736.8992000000000,0.0725,0.0061,0.1132,0.0276,8.9197,0.8233,5.1354,0.474,6.8082,0.6285,125.9883,TE_003B6
5952,05952_SGRA_TABLE_RESULTS_pileupcorr.txt,1,53581.1097515494,53581.1501751383,3492.6336,0.0213,0.0024,0.039,0.0121,4.1983,0.666,1.2021,0.1907,1.5936,0.2528,74.3259,TE_003B6
5953,05953_SGRA_TABLE_RESULTS_pileupcorr.txt,1,53581.9306907625,53581.9555373808,2146.7808,0.0484,0.0046,0.0785,0.0194,7.2478,0.7602,3.3761,0.3541,4.4758,0.4695,103.9537,TE_003B6
6363,06363_SGRA_TABLE_RESULTS_pileupcorr.txt,1,53933.2490317925,53933.280367879,2707.4304,0.0576,0.0046,0.1177,0.0289,11.1307,0.9651,4.1112,0.3565,5.4503,0.4726,156.0,TE_003B6
9173,09173_SGRA_TABLE_RESULTS_pileupcorr.txt,1,54673.90630603,54674.0403465407,11581.142400000000,0.0086,0.0009,0.0277,0.0101,4.2842,0.8715,0.3699,0.0752,0.4904,0.0998,99.3332,TE_007B4
10556,10556_SGRA_TABLE_RESULTS_pileupcorr.txt,1,54969.1157869404,54969.1296568924,1198.368,0.0445,0.0059,0.0545,0.0149,3.6253,0.5448,3.0252,0.4546,4.0106,0.6028,53.3034,TE_002FA
10556,10556_SGRA_TABLE_RESULTS_pileupcorr.txt,2,54969.4084185051,54969.4500645368,3598.2144000000000,0.026,0.0026,0.0464,0.0135,5.7687,0.7357,1.6032,0.2045,2.1254,0.2711,93.5342,TE_002FA
10556,10556_SGRA_TABLE_RESULTS_pileupcorr.txt,3,54969.9662496287,54969.9855184027,1664.8416000000000,0.1072,0.0075,0.1314,0.0332,13.0666,0.9587,7.8486,0.5758,10.4051,0.7636,178.4446,TE_002FA
10556,10556_SGRA_TABLE_RESULTS_pileupcorr.txt,4,54970.0408161481,54970.0476329314,588.9888,0.0944,0.0119,0.0956,0.0231,4.0428,0.5387,6.864,0.9146,9.0999,1.2126,55.5918,TE_002FA
11843,11843_SGRA_TABLE_RESULTS_pileupcorr.txt,1,55329.1538426927,55329.1949982424,3555.8784,0.1221,0.0054,0.1648,0.0466,31.7286,1.4838,8.9228,0.4173,11.8294,0.5535,434.2315,TE_00866
13016,13016_SGRA_TABLE_RESULTS_pileupcorr.txt,1,55649.448992503,55649.4836964947,2998.4256,0.014,0.0021,0.0206,0.0086,2.4056,0.505,0.8023,0.1684,1.0636,0.2233,41.8751,TE_00866
13838,13838_SGRA_TABLE_RESULTS.txt,1,56141.0172883562,56141.0524231841,3035.6640000000000,0.0534,0.0042,0.125,0.0205,10.8839,0.9816,3.5853,0.3234,4.7532,0.4288,162.0,TE_008D0
13839,13839_SGRA_TABLE_RESULTS.txt,1,56132.3935211684,56132.4034276333,855.8784000000000,0.0502,0.0077,0.0574,0.0139,2.8682,0.5046,3.3511,0.5896,4.4427,0.7817,42.998,TE_008D0
13839,13839_SGRA_TABLE_RESULTS.txt,2,56134.0058681187,56134.0415119547,3079.6416000000000,0.0857,0.0053,0.1385,0.0216,18.7268,1.2509,6.0808,0.4062,8.0616,0.5387,264.0012,TE_008D0
13840,13840_SGRA_TABLE_RESULTS.txt,1,56136.6320188671,56136.6591742431,2346.192,0.0196,0.0029,0.0236,0.0089,2.2646,0.5232,0.9652,0.223,1.2796,0.2956,45.9994,TE_008D0
13842,13842_SGRA_TABLE_RESULTS.txt,1,56130.1918448833,56130.2294147132,3246.048,0.0376,0.0034,0.0574,0.0139,7.7872,0.8536,2.399,0.263,3.1804,0.3487,122.0006,TE_008D0
13842,13842_SGRA_TABLE_RESULTS.txt,2,56130.913283464,56130.9239888886,924.9120000000000,0.0551,0.0077,0.0709,0.0155,3.4678,0.5498,3.7493,0.5945,4.9706,0.7882,50.998,TE_008D0
13842,13842_SGRA_TABLE_RESULTS.txt,3,56131.498799817,56131.5874654235,7660.742400000000,0.0218,0.0017,0.0405,0.0117,9.0763,1.0128,1.1848,0.1322,1.5707,0.1753,167.0007,TE_008D0
13843,13843_SGRA_TABLE_RESULTS.txt,1,56223.3782249419,56223.4728285995,8173.699200000000,0.0328,0.002,0.1148,0.0197,16.4799,1.2762,2.0162,0.1561,2.673,0.207,268.0,TE_008D0
