obs_id,obs_date,telescope,instrument,exposure_ks,quiescent_rate,quiescent_rate_err
13841,2012-07-17T21:15:09,CHANDRA,ACIS,45.071881,6.479000,0.379000
13846,2012-05-16T10:49:33,CHANDRA,ACIS,56.173958,6.409000,0.338000
16508,2014-02-21T11:34:27,CHANDRA,ACIS,47.873725,5.458000,0.395000
16966,2015-05-14T08:53:48,CHANDRA,ACIS,25.071313,5.230000,0.738000
28231,2024-04-08T07:28:07,CHANDRA,ACIS,22.896067,5.977000,0.532000
14438,2012-05-18T04:37:04,CHANDRA,ACIS,25.795602,6.474000,0.501000
13848,2012-05-09T12:10:32,CHANDRA,ACIS,98.163580,6.469000,0.257000
18058,2016-10-14T10:44:16,CHANDRA,ACIS,25.067066,4.468000,0.422000
26757,2023-04-13T06:11:32,CHANDRA,ACIS,24.596526,5.170000,0.458000
7559,2007-10-26T09:59:14,CHANDRA,ACIS,5.075463,5.765000,1.061000
14462,2012-10-06T16:30:38,CHANDRA,ACIS,126.206429,6.256000,0.271000
16597,2014-07-04T20:56:19,CHANDRA,ACIS,18.153466,4.047000,0.567000
6644,2006-08-22T05:58:28,CHANDRA,ACIS,5.050305,4.586000,0.950000
19726,2017-04-06T03:49:57,CHANDRA,ACIS,31.071660,4.832000,0.394000
26759,2023-04-18T06:15:44,CHANDRA,ACIS,25.395656,4.980000,0.594000
18056,2016-02-14T14:41:42,CHANDRA,ACIS,24.027084,84.401000,0.583000
6643,2006-07-30T14:36:48,CHANDRA,ACIS,5.047313,4.388000,0.929000
13016,2011-03-29T10:31:47,CHANDRA,ACIS,18.068960,3.536000,0.483000
7557,2007-07-20T02:34:16,CHANDRA,ACIS,5.047391,5.595000,1.048000
14465,2012-07-18T23:32:04,CHANDRA,ACIS,44.346116,5.819000,0.485000
14439,2012-08-06T22:23:45,CHANDRA,ACIS,111.727769,6.419000,0.250000
13849,2012-05-11T03:26:32,CHANDRA,ACIS,178.754344,7.519000,0.210000
28230,2024-04-06T07:18:46,CHANDRA,ACIS,25.097181,5.266000,0.458000
13847,2012-04-30T16:23:44,CHANDRA,ACIS,154.072388,6.583000,0.287000
13840,2012-07-26T20:09:41,CHANDRA,ACIS,162.510977,7.058000,0.214000
13017,2011-03-31T10:32:03,CHANDRA,ACIS,11.098334,4.571000,0.501000
7556,2007-05-17T01:12:11,CHANDRA,ACIS,5.044742,6.002000,1.086000
6642,2006-07-04T11:09:40,CHANDRA,ACIS,1.344318,2.716000,0.723000
26760,2023-04-20T04:42:31,CHANDRA,ACIS,25.496325,5.316000,0.545000
6645,2006-09-25T13:49:46,CHANDRA,ACIS,5.182153,4.637000,1.277000
14463,2012-10-16T00:49:58,CHANDRA,ACIS,30.772979,6.972000,0.650000
26758,2023-04-16T05:45:26,CHANDRA,ACIS,25.097070,5.706000,0.476000
18057,2016-10-08T19:04:30,CHANDRA,ACIS,25.065992,4.136000,0.439000
19727,2017-04-07T05:00:10,CHANDRA,ACIS,30.655382,5.206000,0.489000
7558,2007-09-02T20:22:05,CHANDRA,ACIS,5.047144,6.158000,1.438000
2952,2002-03-23T12:25:57,CHANDRA,ACIS,12.015555,5.032000,0.645000
20347,2018-04-25T03:42:26,CHANDRA,ACIS,36.071635,5.190000,0.379000
16215,2014-07-16T22:51:21,CHANDRA,ACIS,45.704351,5.291000,0.383000
16212,2014-04-04T02:28:54,CHANDRA,ACIS,50.075274,5.491000,0.376000
9174,2008-07-25T21:57:34,CHANDRA,ACIS,29.177229,4.418000,0.388000
21455,2019-03-31T05:22:00,CHANDRA,ACIS,33.072513,4.509000,0.369000
9173,2008-07-26T21:27:28,CHANDRA,ACIS,28.133696,3.768000,0.476000
