obs_id,flare_number,start_mjd,end_mjd,duration_s,,rate_mean,rate_mean_err,,rate_max,rate_max_err,,energy_1e37erg,energy_err,,luminosity_1e34,luminosity_err,,flux_1e_minus12,flux_err,,fluence_ct,fluence_err,,hardness_ratio,hardness_ratio_err
16508,1,56710.02156,56710.04671,2173,0.021 $\pm$ 0.003,0.021,0.0032,0.040 $\pm$ 0.012,0.0396,0.0122,3.037 $\pm$ 0.066,3.0366,0.066,1.397 $\pm$ 0.030,1.3972,0.0304,1.746 $\pm$ 0.038,1.746,0.0381,45 $\pm$ 0.145,45.3804,0.14521728,2.769 $\pm$ 0.896,2.769230769,0.8960541631
16966,1,57156.50785,57156.54187,2940,0.056 $\pm$ 0.004,0.056,0.0044,0.143 $\pm$ 0.022,0.1427,0.0224,12.502 $\pm$ 0.183,12.5015,0.1834,4.252 $\pm$ 0.062,4.2524,0.0624,5.314 $\pm$ 0.078,5.3141,0.0784,164 $\pm$ 0.722,164,0.7216,1.412 $\pm$ 0.224,1.411764706,0.2237660376
28231,1,60408.56644,60408.57686,900,0.035 $\pm$ 0.006,0.035,0.0062,0.042 $\pm$ 0.012,0.0415,0.012,2.153 $\pm$ 0.041,2.153,0.0407,2.393 $\pm$ 0.045,2.3927,0.0453,2.990 $\pm$ 0.057,2.99,0.0568,31 $\pm$ 0.192,31.001,0.1922062,1.214 $\pm$ 0.438,1.214285714,0.4382412504
14462,1,56207.17827,56207.18923,947,0.032 $\pm$ 0.006,0.032,0.0058,0.039 $\pm$ 0.011,0.0389,0.0112,2.825 $\pm$ 0.031,2.8246,0.0305,2.983 $\pm$ 0.032,2.9832,0.0322,3.728 $\pm$ 0.041,3.728,0.0407,30 $\pm$ 0.174,29.9992,0.17399536,1.810 $\pm$ 0.492,1.80952381,0.4920269169
14462,2,56208.18553,56208.21601,2634,0.026 $\pm$ 0.003,0.026,0.0031,0.054 $\pm$ 0.013,0.0537,0.0131,6.037 $\pm$ 0.085,6.0369,0.0848,2.292 $\pm$ 0.032,2.2923,0.0322,2.865 $\pm$ 0.041,2.8646,0.0405,68 $\pm$ 0.211,68.0006,0.21080186,1.562 $\pm$ 0.234,1.561643836,0.2340932757
26759,1,60052.43554,60052.45941,2063,0.017 $\pm$ 0.003,0.017,0.0028,0.030 $\pm$ 0.010,0.0297,0.0102,1.987 $\pm$ 0.104,1.9867,0.104,0.963 $\pm$ 0.050,0.9632,0.0504,1.204 $\pm$ 0.063,1.2037,0.063,34 $\pm$ 0.095,34.0004,0.09520112,0.700 $\pm$ 0.244,0.7,0.2439262184
13016,1,55649.44899,55649.47268,2047,0.017 $\pm$ 0.003,0.017,0.0028,0.022 $\pm$ 0.008,0.022,0.0083,2.207 $\pm$ 0.084,2.2067,0.084,1.078 $\pm$ 0.041,1.0782,0.041,1.347 $\pm$ 0.051,1.3474,0.0513,34 $\pm$ 0.095,33.9994,0.09519832,1.615 $\pm$ 0.570,1.615384615,0.5700777323
14465,1,56126.98119,56127.03307,4482,0.019 $\pm$ 0.002,0.019,0.0021,0.040 $\pm$ 0.011,0.0398,0.0112,6.944 $\pm$ 0.256,6.9439,0.2561,1.549 $\pm$ 0.057,1.5493,0.0571,1.936 $\pm$ 0.072,1.9361,0.0715,85 $\pm$ 0.178,84.9995,0.17849895,1.854 $\pm$ 0.235,1.854166667,0.2347893714
14465,2,56127.18193,56127.20803,2255,0.018 $\pm$ 0.003,0.018,0.0028,0.033 $\pm$ 0.010,0.0325,0.0101,3.286 $\pm$ 0.129,3.2855,0.1289,1.457 $\pm$ 0.057,1.4569,0.0571,1.821 $\pm$ 0.072,1.8206,0.0715,41 $\pm$ 0.115,40.9995,0.1147986,1.434 $\pm$ 0.257,1.433962264,0.2566184319
14439,1,56147.13663,56147.15099,1241,0.027 $\pm$ 0.005,0.027,0.0047,0.035 $\pm$ 0.011,0.0348,0.0107,3.071 $\pm$ 0.037,3.071,0.0365,2.475 $\pm$ 0.029,2.4754,0.0294,3.093 $\pm$ 0.037,3.0934,0.0371,34 $\pm$ 0.160,34.0011,0.15980517,2.080 $\pm$ 0.506,2.08,0.5062173446
13849,1,56060.14216,56060.17036,2436,0.055 $\pm$ 0.005,0.055,0.0047,0.077 $\pm$ 0.016,0.0768,0.0155,13.521 $\pm$ 0.060,13.5212,0.0601,5.551 $\pm$ 0.025,5.5505,0.0247,6.936 $\pm$ 0.033,6.9363,0.0327,133 $\pm$ 0.625,133.0012,0.62510564,1.845 $\pm$ 0.250,1.845238095,0.2500033743
13847,1,56048.51526,56048.55282,3245,0.024 $\pm$ 0.003,0.024,0.0027,0.043 $\pm$ 0.012,0.0426,0.0117,6.562 $\pm$ 0.110,6.562,0.1096,2.022 $\pm$ 0.034,2.0222,0.0338,2.527 $\pm$ 0.042,2.5271,0.0424,77 $\pm$ 0.208,76.9992,0.20789784,1.655 $\pm$ 0.225,1.655172414,0.2247544799
26760,1,60054.41417,60054.46763,4619,0.031 $\pm$ 0.003,0.031,0.0026,0.044 $\pm$ 0.013,0.0437,0.0125,9.824 $\pm$ 0.220,9.8237,0.2195,2.127 $\pm$ 0.048,2.1268,0.0475,2.658 $\pm$ 0.060,2.6578,0.0595,143 $\pm$ 0.372,142.9998,0.37179948,1.043 $\pm$ 0.174,1.042857143,0.1744545853
14463,1,56216.23805,56216.24412,525,0.116 $\pm$ 0.015,0.116,0.0149,0.094 $\pm$ 0.017,0.0939,0.0169,6.744 $\pm$ 0.041,6.7436,0.0409,12.856 $\pm$ 0.078,12.8564,0.0779,16.066 $\pm$ 0.101,16.0662,0.1007,61 $\pm$ 0.909,61.0036,0.90895364,2.033 $\pm$ 0.453,2.033333333,0.4534231937
9173,1,54673.90631,54674.04200,11724,0.009 $\pm$ 0.001,0.009,0.0009,0.030 $\pm$ 0.010,0.0299,0.0095,4.955 $\pm$ 0.462,4.955,0.4621,0.423 $\pm$ 0.039,0.4227,0.0394,0.528 $\pm$ 0.049,0.5282,0.0493,101 $\pm$ 0.091,101,0.0909,1.463 $\pm$ 0.297,1.463414634,0.2965244623
20346,1,58232.20941,58232.24803,3336,0.116 $\pm$ 0.006,0.116,0.0059,0.323 $\pm$ 0.033,0.3229,0.0327,31.448 $\pm$ 0.116,31.4483,0.1159,9.426 $\pm$ 0.035,9.426,0.0347,11.779 $\pm$ 0.047,11.7794,0.0473,388 $\pm$ 2.289,388,2.2892,1.296 $\pm$ 0.133,1.295857988,0.1326807334
