obs_id,flare_number,start_mjd,end_mjd,duration_s,Mean Rate,Max Rate,Energy (1e37erg),Luminosity (1e34),Flux (1e-12),Fluence,Hardness Ratio,Shape
1561,1,51844.10515,51844.11288,668,0.033 $\pm$ 0.007,0.040 $\pm$ 0.011,1.558 $\pm$ 0.033,2.334 $\pm$ 0.049,2.917 $\pm$ 0.061,22 $\pm$ 0.154,1.200 $\pm$ 0.514,1
1561,2,51844.15817,51844.27951,10484,0.064 $\pm$ 0.003,0.367 $\pm$ 0.023,52.128 $\pm$ 0.514,4.972 $\pm$ 0.049,6.214 $\pm$ 0.062,674 $\pm$ 1.685,1.893 $\pm$ 0.153,3
3663,1,52418.80112,52418.85593,4735,0.021 $\pm$ 0.002,0.047 $\pm$ 0.012,6.256 $\pm$ 0.190,1.321 $\pm$ 0.040,1.651 $\pm$ 0.050,101 $\pm$ 0.212,1.730 $\pm$ 0.357,2
3392,1,52420.17534,52420.21044,3033,0.022 $\pm$ 0.003,0.045 $\pm$ 0.012,4.357 $\pm$ 0.077,1.437 $\pm$ 0.025,1.795 $\pm$ 0.032,66 $\pm$ 0.178,2.000 $\pm$ 0.522,1
3392,2,52420.56900,52420.63095,5352,0.012 $\pm$ 0.002,0.033 $\pm$ 0.010,3.439 $\pm$ 0.135,0.643 $\pm$ 0.025,0.803 $\pm$ 0.032,66 $\pm$ 0.099,0.833 $\pm$ 0.206,1
3392,3,52421.23678,52421.24898,1054,0.028 $\pm$ 0.005,0.029 $\pm$ 0.010,2.025 $\pm$ 0.027,1.921 $\pm$ 0.025,2.401 $\pm$ 0.032,29 $\pm$ 0.148,1.900 $\pm$ 0.742,2
3393,1,52422.63721,52422.67529,3290,0.080 $\pm$ 0.005,0.355 $\pm$ 0.022,20.876 $\pm$ 0.088,6.345 $\pm$ 0.027,7.929 $\pm$ 0.036,264 $\pm$ 1.294,1.779 $\pm$ 0.228,2
3393,2,52423.24197,52423.30094,5095,0.031 $\pm$ 0.003,0.101 $\pm$ 0.016,11.210 $\pm$ 0.136,2.200 $\pm$ 0.027,2.749 $\pm$ 0.034,158 $\pm$ 0.395,2.038 $\pm$ 0.345,2
3393,3,52423.78165,52423.79361,1033,0.057 $\pm$ 0.007,0.079 $\pm$ 0.015,4.543 $\pm$ 0.028,4.396 $\pm$ 0.027,5.494 $\pm$ 0.034,59 $\pm$ 0.437,1.458 $\pm$ 0.386,1
4684,1,53193.14340,53193.16272,1669,0.067 $\pm$ 0.006,0.134 $\pm$ 0.018,8.504 $\pm$ 0.061,5.094 $\pm$ 0.036,6.366 $\pm$ 0.047,111 $\pm$ 0.699,1.921 $\pm$ 0.384,2
5952,1,53581.08914,53581.15574,5754,0.017 $\pm$ 0.002,0.040 $\pm$ 0.011,5.772 $\pm$ 0.234,1.003 $\pm$ 0.041,1.254 $\pm$ 0.051,97 $\pm$ 0.165,0.940 $\pm$ 0.191,2
