obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct,fluence_err,hardness_ratio,hardness_ratio_err,Shape
31022,31022_SGRA_TABLE_RESULTS.txt,1,60899.1358604556,60899.1585146993,1957.3056,0.0261,0.0036,0.0436,0.0125,3.3346,0.0811,1.7037,0.0414,2.129,0.0519,50.9995,0.1836,0.7,0.19916492328386200,1
28231,28231_SGRA_TABLE_RESULTS.txt,1,60408.5664414409,60408.5768560903,899.8560000000000,0.0345,0.0062,0.0415,0.012,2.153,0.0407,2.3927,0.0453,2.99,0.0568,31.001,0.1922062,1.2142857142857100,0.43824125043862100,1
26760,26760_SGRA_TABLE_RESULTS.txt,1,60054.4141706355,60054.4676307197,4618.944,0.031,0.0026,0.0437,0.0125,9.8237,0.2195,2.1268,0.0475,2.6578,0.0595,142.9998,0.3718,1.042857142857140,0.17445458530047700,2
26759,26759_SGRA_TABLE_RESULTS.txt,1,60052.4355408632,60052.4594135912,2062.6272,0.0165,0.0028,0.0297,0.0102,1.9867,0.104,0.9632,0.0504,1.2037,0.063,34.0004,0.0952,0.7,0.24392621835300900,1
25297,25297_SGRA_TABLE_RESULTS.txt,1,59658.3374265859,59658.413494944,6572.2752,0.0145,0.0015,0.0397,0.012,5.5519,0.3648,0.8447,0.0555,1.0557,0.0694,94.9996,0.1425,0.9387755102040820,0.1927287916156080,1
23739,23739_SGRA_TABLE_RESULTS.txt,1,59425.001908363,59425.0477052716,3956.8608,0.0933,0.0049,0.4997,0.0375,29.2109,0.1868,7.3823,0.0472,9.2255,0.0608,369.0,1.8081,1.5804195804195800,0.16887421624759400,2
22595,22595_SGRA_TABLE_RESULTS.txt,3,59386.1312701681,59386.1857061669,4703.270400000000,0.0936,0.0045,0.2598,0.0287,33.1101,0.5514,7.0398,0.1172,8.7974,0.1472,440.0,1.98,1.2448979591836700,0.11940902283540800,3
22595,22595_SGRA_TABLE_RESULTS.txt,2,59386.0852738163,59386.1159454584,2650.0608,0.0457,0.0042,0.0892,0.0174,7.9696,0.3107,3.0073,0.1172,3.7582,0.1466,121.0014,0.5082,1.2407407407407400,0.226902586639298,2
22595,22595_SGRA_TABLE_RESULTS.txt,1,59386.0150757433,59386.0259079556,935.8848,0.093,0.01,0.1392,0.0217,6.5417,0.1097,6.9898,0.1172,8.735,0.1472,86.9983,0.869983,1.2307692307692300,0.2653281533854080,2
22594,22594_SGRA_TABLE_RESULTS.txt,1,59385.1181459709,59385.1922850757,6405.6096,0.0498,0.0028,0.2062,0.0268,24.9795,0.3178,3.8996,0.0496,4.8732,0.0625,319.0,0.8932,1.1849315068493200,0.13316469828115700,2
