obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct,hardness_ratio,Shape,median_rate,median_rate_err
16508,16508_SGRA_TABLE_RESULTS.txt,1,56710.0279580639,56710.0467113822,1620.2592,0.0261,0.0041,0.0349,0.0116,2.6145,0.5565,1.6136,0.3434,2.1393,0.4553,42.2638,3.5,1,0.03255785803274459,0.00460618954291803
16966,16966_SGRA_TABLE_RESULTS.txt,1,57156.5078461703,57156.5423475553,2980.8864,0.057,0.0044,0.1412,0.0224,11.9688,1.0919,4.0152,0.3663,5.3231,0.4857,170.0,1.39130434782609,2,0.038034630196812344,0.017783014472121116
28231,28231_SGRA_TABLE_RESULTS.txt,1,60408.5664414409,60408.5897757658,2016.144,0.0188,0.0031,0.0441,0.0125,2.0523,0.5163,1.0179,0.2561,1.3495,0.3395,38.0,1.0,1,0.020094739732604634,0.008648452234714318
14462,14462_SGRA_TABLE_RESULTS.txt,1,56207.1782699449,56207.1892292311,946.8576,0.0315,0.0057,0.0386,0.0112,1.8442,0.6308,1.9477,0.6662,2.5822,0.8832,29.8555,1.52173913043478,1,0.034945223779783804,0.006837426360236819
14462,14462_SGRA_TABLE_RESULTS.txt,2,56208.1851883119,56208.2160148706,2663.4528,0.0269,0.0032,0.0576,0.0135,4.2325,0.9895,1.5891,0.3715,2.1068,0.4925,71.5645,1.53333333333333,2,0.027656360676669118,0.005555107631668923
26759,26759_SGRA_TABLE_RESULTS.txt,1,60052.4355408632,60052.4594135912,2062.6272,0.0165,0.0028,0.0291,0.0102,1.8332,0.492,0.8888,0.2385,1.1783,0.3163,34.0856,0.7,1,0.01809218753721341,0.0037361771321735796
13016,13016_SGRA_TABLE_RESULTS.txt,1,55649.448992503,55649.4836964947,2998.4256,0.0135,0.0021,0.0205,0.0083,2.2958,0.5358,0.7657,0.1787,1.0151,0.2369,40.3909,1.41176470588235,1,0.015065687945353515,0.0021444830267716144
14465,14465_SGRA_TABLE_RESULTS.txt,1,56126.9811903736,56127.0391365984,5006.5344,0.0177,0.0019,0.0387,0.0112,4.6265,1.1337,0.9241,0.2265,1.2251,0.3002,88.79,1.88571428571429,2,0.017222734356986055,0.0023830190088651765
14465,14465_SGRA_TABLE_RESULTS.txt,2,56127.1819307434,56127.2080320547,2255.1264,0.019,0.0029,0.0315,0.0101,2.3102,0.769,1.0244,0.341,1.3581,0.4521,42.9358,1.46153846153846,1,0.020758523051712403,0.0033362779017486513
14439,14439_SGRA_TABLE_RESULTS.txt,1,56147.1355061155,56147.1509915782,1337.904,0.0276,0.0045,0.0349,0.0107,2.1746,0.7031,1.6254,0.5255,2.1548,0.6967,36.9414,2.15384615384615,1,0.027729714367042017,0.003673016809744561
13849,13849_SGRA_TABLE_RESULTS.txt,1,56060.1421631247,56060.1703578731,2436.048,0.0584,0.0049,0.0773,0.0155,9.5157,1.3955,3.9062,0.5729,5.1786,0.7595,142.3664,1.85882352941176,1,0.06361563548974594,0.007094490890403229
13847,13847_SGRA_TABLE_RESULTS.txt,1,56048.5152617972,56048.5528192105,3244.9248,0.0243,0.0027,0.046,0.0122,4.4103,1.0391,1.3591,0.3202,1.8019,0.4245,78.7702,1.64705882352941,2,0.024183548031644447,0.0036920964210662007
13840,13840_SGRA_TABLE_RESULTS.txt,1,56136.6320188671,56136.6591742431,2346.192,0.0201,0.0029,0.0244,0.0089,2.3417,0.8043,0.9981,0.3428,1.3232,0.4545,47.2424,1.14084507042254,1,0.022599816095613248,0.0019825716284862216
26760,26760_SGRA_TABLE_RESULTS.txt,1,60054.4141706355,60054.4676307197,4618.944,0.0318,0.0026,0.044,0.0125,9.4017,1.0192,2.0355,0.2207,2.6985,0.2926,146.784,1.01388888888889,2,0.03657412285384472,0.003088312219669509
14463,14463_SGRA_TABLE_RESULTS.txt,1,56216.2380469755,56216.2441176205,524.5344,0.1315,0.0157,0.0921,0.0169,5.0097,0.9656,9.5508,1.841,12.6619,2.4407,68.9799,1.96875,1,0.09213827847363566,0.0
9173,09173_SGRA_TABLE_RESULTS.txt,1,54673.90630603,54674.0403465407,11581.1424,0.0085,0.0009,0.0284,0.0095,4.2299,0.9355,0.3652,0.0808,0.4842,0.1071,98.3101,1.57894736842105,1,0.006753130796519259,0.0012388325130443317
20346,20346_SGRA_TABLE_RESULTS.txt,1,58232.2094138099,58232.2480280975,3336.336,0.1214,0.006,0.3224,0.0327,30.0253,1.6658,8.9995,0.4993,11.931,0.6622,405.0,1.29761904761905,2,0.11519842313981245,0.03653808829490887
6363,06363_SGRA_TABLE_RESULTS.txt,1,53933.2490317925,53933.280367879,2707.4304,0.0702,0.0051,0.1494,0.0185,13.7356,1.1424,5.0733,0.422,6.7259,0.5595,190.0,2.62790697674419,1,0.06851340305391698,0.015884088835033592
21454,21454_SGRA_TABLE_RESULTS.txt,1,58572.2499136315,58572.2652645892,1326.3264,0.1078,0.009,0.2044,0.0265,10.3111,0.9899,7.7742,0.7463,10.3065,0.9896,143.0,1.63461538461538,1,0.10151560391562868,0.04473418939683828
21454,21454_SGRA_TABLE_RESULTS.txt,2,58572.4597801484,58572.4824415204,1957.9968,0.0378,0.0044,0.1187,0.0205,4.6753,0.7177,2.3878,0.3665,3.1656,0.486,74.0,1.43333333333333,2,0.02206385162549821,0.01635952710800882
10556,10556_SGRA_TABLE_RESULTS.txt,1,54969.1157869404,54969.1296568924,1198.368,0.0473,0.0062,0.0592,0.0131,3.8867,0.6189,3.2433,0.5164,4.2998,0.6847,56.7267,1.38095238095238,1,0.04798710553624798,0.005855080019987201
10556,10556_SGRA_TABLE_RESULTS.txt,2,54969.4084185051,54969.4500645368,3598.2144,0.0269,0.0027,0.0502,0.0122,6.0098,0.8153,1.6702,0.2266,2.2143,0.3004,96.7428,1.30769230769231,2,0.023379024326831012,0.004911958863342997
10556,10556_SGRA_TABLE_RESULTS.txt,3,54969.9662496287,54969.9855184027,1664.8416,0.1272,0.0087,0.1673,0.0194,15.6228,1.2004,9.384,0.721,12.4407,0.9561,211.7092,2.6046511627907,1,0.13672413786061074,0.01624009932603271
10556,10556_SGRA_TABLE_RESULTS.txt,4,54970.0408161481,54970.0476329314,588.9888,0.1091,0.0136,0.1113,0.0169,4.7088,0.6608,7.9946,1.122,10.5988,1.4875,64.2609,1.88235294117647,1,0.0829524271397342,0.025090679909862284
18732,18732_SGRA_TABLE_RESULTS.txt,1,57587.6279846369,57587.6576560533,2563.5744,0.022,0.0029,0.0486,0.0133,3.3464,0.6204,1.3054,0.242,1.7306,0.3209,56.4026,1.07407407407407,2,0.018489439666133166,0.004845011632720462
4684,04684_SGRA_TABLE_RESULTS.txt,1,53193.1433966282,53193.1634999663,1736.8992,0.0788,0.0067,0.1368,0.0182,9.763,0.9649,5.6209,0.5555,7.4519,0.7366,136.8248,1.85,1,0.08171296606753883,0.014567081457360749
15041,15041_SGRA_TABLE_RESULTS.txt,1,56500.1507258236,56500.1627820644,1041.6384,0.031,0.0058,0.0401,0.0127,2.1348,0.505,2.0495,0.4848,2.7171,0.6427,32.2653,1.05555555555556,1,0.03188607613057427,0.005713673658092929
15041,15041_SGRA_TABLE_RESULTS.txt,2,56500.464956453,56500.474215574,799.9776,0.0292,0.0065,0.0379,0.0127,1.5279,0.4309,1.9099,0.5387,2.532,0.7141,23.3276,2.0,1,0.02835890127438922,0.004060730380590651
11843,11843_SGRA_TABLE_RESULTS.txt,1,55329.1538426927,55329.1949982424,3555.8784,0.1489,0.0065,0.2504,0.0214,39.0079,1.9012,10.97,0.5347,14.5433,0.7092,529.4651,2.19827586206897,1,0.1538111710869821,0.018896876235953344
22230,22230_SGRA_TABLE_RESULTS.txt,1,58682.1350683115,58682.1485208444,1162.3392,0.0629,0.0074,0.1144,0.0201,5.1318,0.7069,4.415,0.6082,5.8532,0.8063,73.1168,0.894736842105263,1,0.0597218679235639,0.019123617568012993
31022,31022_SGRA_TABLE_RESULTS.txt,1,60899.1322780928,60899.1652226166,2846.448,0.019,0.0026,0.0406,0.012,2.875,0.6177,1.01,0.217,1.339,0.2877,54.0,0.741935483870968,1,0.018247140025964663,0.004890492962141353
23665,23665_SGRA_TABLE_RESULTS.txt,1,59314.3525806787,59314.3741622918,1864.6848,0.0323,0.0042,0.0487,0.0133,3.8202,0.6453,2.0487,0.3461,2.7161,0.4588,60.172,1.18518518518519,1,0.03934323933386978,0.006022321431919742
13838,13838_SGRA_TABLE_RESULTS.txt,1,56141.0172883562,56141.0524231841,3035.664,0.0573,0.0043,0.1415,0.0205,11.8416,1.5471,3.9008,0.5096,5.1715,0.6757,174.0,1.66666666666667,1,0.0442758583439963,0.015779087971586798
20446,20446_SGRA_TABLE_RESULTS.txt,1,58685.0777559162,58685.0882939269,910.4832,0.0274,0.0054,0.0369,0.0116,1.547,0.4053,1.6991,0.4451,2.2526,0.5901,24.961,1.08333333333333,1,0.03314022393831368,0.007058458769861706
13854,13854_SGRA_TABLE_RESULTS.txt,1,56006.4868983093,56006.4946421282,669.0816,0.0562,0.0091,0.0582,0.0135,2.457,0.7166,3.6723,1.071,4.8685,1.4199,37.5807,1.73076923076923,1,0.04640411454017492,0.009098101889047649
13854,13854_SGRA_TABLE_RESULTS.txt,2,56006.5288187797,56006.5381451058,805.7664,0.0589,0.0085,0.0663,0.0143,3.1268,0.8084,3.8805,1.0033,5.1445,1.3301,47.4394,1.64516129032258,1,0.06223454794297086,0.003569292335116802
13854,13854_SGRA_TABLE_RESULTS.txt,3,56006.5856100532,56006.5968083155,967.5072,0.0554,0.0075,0.0703,0.0147,3.4975,0.8603,3.6149,0.8892,4.7925,1.1789,53.6215,1.2,1,0.058206023099877074,0.009407961822024951
13854,13854_SGRA_TABLE_RESULTS.txt,4,56006.6828494131,56006.6875037033,402.1056,0.1137,0.0167,0.1076,0.0179,3.2549,0.7865,8.0947,1.9559,10.7315,2.5931,45.7033,1.32142857142857,1,0.10756054645069074,0.0
19703,19703_SGRA_TABLE_RESULTS.txt,1,57949.9606547532,57950.0140103535,4609.9584,0.0139,0.0017,0.0262,0.0097,3.2425,0.6716,0.7034,0.1457,0.9325,0.1932,64.0102,0.96875,1,0.014943958084111806,0.002715197453024753
19703,19703_SGRA_TABLE_RESULTS.txt,2,57950.5536556274,57950.5658856855,1056.672,0.0358,0.0058,0.0489,0.0133,2.5221,0.5031,2.3868,0.4761,3.1643,0.6312,37.7971,1.64285714285714,1,0.041338161721897984,0.004469978758241078
13839,13839_SGRA_TABLE_RESULTS.txt,1,56132.3935211684,56132.4034276333,855.8784,0.0528,0.0078,0.0608,0.0139,3.0332,0.7852,3.5439,0.9174,4.6983,1.2163,45.2086,2.44,2,0.053288597732780336,0.005520105899098813
13839,13839_SGRA_TABLE_RESULTS.txt,2,56134.0058681187,56134.0415119547,3079.6416,0.0936,0.0055,0.1611,0.0216,20.5728,1.9872,6.6803,0.6453,8.8563,0.8556,288.2352,1.94160583941606,2,0.08008935235936884,0.0150574486810688
20041,20041_SGRA_TABLE_RESULTS.txt,1,57854.3545234889,57854.3809904317,2286.7488,0.1041,0.0067,0.1701,0.0244,17.0684,1.28,7.4641,0.5597,9.8954,0.7422,238.0,1.25490196078431,1,0.11470957499299786,0.01645754571439239
13852,13852_SGRA_TABLE_RESULTS.txt,1,56143.3215321682,56143.3356009205,1215.5616,0.0539,0.0066,0.0727,0.0151,4.3776,0.9442,3.6013,0.7767,4.7744,1.0298,65.5364,1.92857142857143,1,0.053588508116294606,0.010501354523324836
13852,13852_SGRA_TABLE_RESULTS.txt,2,56144.3340669426,56144.3540238093,1724.2848,0.0233,0.0037,0.0279,0.0096,2.1466,0.7422,1.2449,0.4304,1.6505,0.5707,40.1452,2.15789473684211,1,0.022587361159881456,0.0017348260453055266
14468,14468_SGRA_TABLE_RESULTS.txt,1,56230.2939987989,56230.3345487205,3503.52,0.0255,0.0027,0.0467,0.0122,5.2493,1.108,1.4983,0.3163,1.9863,0.4193,89.3155,1.92405063291139,2,0.022730081231370776,0.0037014778157753946
14468,14468_SGRA_TABLE_RESULTS.txt,2,56231.5642457846,56231.5894560817,2178.144,0.0312,0.0038,0.0544,0.0131,4.2193,0.9596,1.9371,0.4406,2.5681,0.5841,67.9531,1.59322033898305,2,0.035485213753213424,0.00656906309043808
22594,22594_SGRA_TABLE_RESULTS.txt,1,59385.1461599711,59385.1922850757,3985.2,0.0763,0.0044,0.2084,0.0268,21.9043,1.4542,5.4964,0.3649,7.2868,0.4839,304.0,1.1865671641791,2,0.056501601002602875,0.02096765279400822
14466,14466_SGRA_TABLE_RESULTS.txt,1,56128.5461937825,56128.5603894327,1226.5344,0.0374,0.0055,0.0803,0.0158,2.849,0.787,2.3228,0.6416,3.0794,0.8507,45.9243,1.41304347826087,1,0.03263530922956401,0.016852416299313167
18055,18055_SGRA_TABLE_RESULTS.txt,1,57431.506776851,57431.5521702619,3922.0416,0.0433,0.0033,0.1108,0.0201,11.6067,1.1131,2.9594,0.2838,3.9233,0.3763,170.0,1.02439024390244,3,0.04268515192252289,0.01225468442126691
18055,18055_SGRA_TABLE_RESULTS.txt,2,57431.6501269879,57431.6753327827,2177.7984,0.0825,0.0063,0.1227,0.0211,12.9982,1.1371,5.9685,0.5221,7.9127,0.6923,179.5897,1.4,2,0.10210778804699211,0.011426716617560046
13845,13845_SGRA_TABLE_RESULTS.txt,1,56067.8692229492,56068.0313904359,14011.2288,0.0171,0.0011,0.1047,0.0179,11.5983,1.8515,0.8278,0.1321,1.0974,0.1752,240.0,1.41304347826087,1,0.010043704995412725,0.004045654321536063
13842,13842_SGRA_TABLE_RESULTS.txt,1,56130.1918448833,56130.2294147132,3246.048,0.0389,0.0035,0.061,0.0139,8.1143,1.3193,2.4997,0.4064,3.314,0.5388,126.1571,1.28318584070796,2,0.04579365924220963,0.006068451037924588
13842,13842_SGRA_TABLE_RESULTS.txt,2,56130.913283464,56130.9239888886,924.912,0.0584,0.0079,0.0766,0.0155,3.7,0.8525,4.0004,0.9217,5.3034,1.222,53.9896,1.47368421052632,1,0.05331869181872999,0.009484941069032844
13842,13842_SGRA_TABLE_RESULTS.txt,3,56131.498799817,56131.5874654235,7660.7424,0.0221,0.0017,0.0421,0.0117,9.2507,1.5494,1.2075,0.2022,1.6009,0.2681,169.044,1.85882352941176,1,0.022230764450664575,0.00246827547503137
3392,03392_SGRA_TABLE_RESULTS.txt,1,52420.1758120228,52420.2104408491,2991.9456,0.0226,0.0027,0.0449,0.0117,4.104,0.68,1.3717,0.2273,1.8185,0.3013,67.4822,2.0952380952381,1,0.019106124075401968,0.003892552913407511
3392,03392_SGRA_TABLE_RESULTS.txt,2,52420.568998866,52420.6309489083,5352.48,0.0125,0.0015,0.0325,0.0101,3.1841,0.6838,0.5949,0.1278,0.7887,0.1694,66.6711,0.885714285714286,1,0.010186730205519568,0.002290403678875622
3392,03392_SGRA_TABLE_RESULTS.txt,3,52421.2367785838,52421.2489758648,1053.8208,0.0302,0.0053,0.0325,0.0101,2.0675,0.4605,1.9619,0.437,2.601,0.5793,31.854,1.72727272727273,1,0.02662339466208348,0.002022264006315681
14432,14432_SGRA_TABLE_RESULTS.txt,1,56138.5614005157,56138.6138749833,4533.7536,0.0136,0.0017,0.0207,0.0083,2.6093,0.928,0.5755,0.2047,0.763,0.2714,61.6481,1.61224489795918,1,0.01713689265097604,0.0017565743697592795
14432,14432_SGRA_TABLE_RESULTS.txt,2,56139.3750400662,56139.420952753,3966.8832,0.0527,0.0036,0.1143,0.0185,14.2108,1.6974,3.5824,0.4279,4.7493,0.5673,209.0,1.73913043478261,2,0.05377866369509776,0.00896702849187
22592,22592_SGRA_TABLE_RESULTS.txt,1,59357.2033116202,59357.2601579368,4911.4944,0.0255,0.0023,0.0854,0.0171,7.4984,0.9752,1.5267,0.1986,2.024,0.2633,125.0,1.21052631578947,2,0.02312396120441906,0.006288897365792202
22595,22595_SGRA_TABLE_RESULTS.txt,1,59386.0150757433,59386.0259079556,935.8848,0.0987,0.0102,0.142,0.0217,6.4073,0.7993,6.8463,0.8541,9.0764,1.1324,92.3453,1.2,1,0.11327097372126696,0.022844064429675102
22595,22595_SGRA_TABLE_RESULTS.txt,2,59386.0852738163,59386.1857061669,8677.4112,0.0676,0.0028,0.2593,0.0287,38.699,2.2356,4.4597,0.2576,5.9125,0.3417,587.0,1.22924901185771,3,0.057714157188262984,0.01446289655119375
15570,15570_SGRA_TABLE_RESULTS.txt,1,56225.2301107415,56225.2583015752,2435.7024,0.0337,0.0037,0.077,0.0155,5.1588,1.0634,2.118,0.4366,2.8079,0.5788,82.0,1.68852459016393,2,0.02421355447968458,0.008962638389443865
22937,22937_SGRA_TABLE_RESULTS.txt,1,59082.237694658,59082.3062533374,5920.3008,0.018,0.0017,0.0354,0.0107,6.1415,0.8782,1.0374,0.1483,1.3753,0.1967,106.3312,1.54761904761905,2,0.015080561649484996,0.0028125430586289006
16963,16963_SGRA_TABLE_RESULTS.txt,1,57066.2491718816,57066.2592286646,868.9248,0.0439,0.0072,0.0543,0.0142,2.6574,0.5173,3.0583,0.5953,4.0545,0.7892,38.186,2.25,1,0.050378440402599874,0.009864313956786446
13843,13843_SGRA_TABLE_RESULTS.txt,1,56223.3782249419,56223.4728285995,8173.6992,0.0344,0.0021,0.1294,0.0197,17.4326,1.9865,2.1328,0.243,2.8275,0.3222,281.0,1.62869198312236,3,0.017223559364334336,0.00768277316972429
3393,03393_SGRA_TABLE_RESULTS.txt,1,52422.637211519,52422.6752940158,3290.3712,0.1058,0.0057,0.3099,0.0221,25.5755,1.5427,7.7728,0.4689,10.3047,0.6218,348.0,1.72631578947368,2,0.09360993882709068,0.029485575756642533
3393,03393_SGRA_TABLE_RESULTS.txt,2,52423.2387870099,52423.3009367529,5369.76,0.0338,0.0025,0.0936,0.0158,12.0139,1.1194,2.2373,0.2085,2.9661,0.2764,181.5066,1.91228070175439,2,0.03121724790031145,0.0052326405009910605
3393,03393_SGRA_TABLE_RESULTS.txt,3,52423.7816468181,52423.7936077478,1033.4304,0.0702,0.0082,0.0829,0.0151,5.2075,0.7012,5.0391,0.6785,6.6805,0.8996,72.572,1.54166666666667,1,0.07277208169271131,0.004501515554984094
21456,21456_SGRA_TABLE_RESULTS.txt,1,58574.4761701491,58574.4931112524,1463.7024,0.0312,0.0046,0.0524,0.0138,2.967,0.5566,2.027,0.3803,2.6873,0.5042,45.6824,1.25,2,0.041116501860601756,0.007694819793999642
16218,16218_SGRA_TABLE_RESULTS.txt,1,56950.5521584909,56950.6266658518,6437.4048,0.1404,0.0047,0.6206,0.0433,67.3473,2.5025,10.4619,0.3887,13.8697,0.5159,904.0,1.49074074074074,3,0.05821592696637905,0.05144832374279458
25297,25297_SGRA_TABLE_RESULTS.txt,1,59658.3361333637,59658.413494944,6684.0768,0.0143,0.0015,0.0402,0.012,4.7847,0.8932,0.7158,0.1336,0.949,0.1772,95.6263,1.0,2,0.012565228452222072,0.002840517189429549
14944,14944_SGRA_TABLE_RESULTS.txt,1,56555.4567037892,56555.4854216868,2481.2352,0.0171,0.003,0.0324,0.0116,2.703,0.6266,1.0894,0.2525,1.4442,0.3348,42.4741,1.26086956521739,2,0.01688326027578053,0.0033496850840478813
16217,16217_SGRA_TABLE_RESULTS.txt,1,56899.4940569153,56899.5475196609,4619.2032,0.0177,0.0021,0.0425,0.0127,4.7517,0.8066,1.0287,0.1746,1.3638,0.2315,81.9249,1.17073170731707,2,0.02071441119103361,0.0027403751216121485
23739,23739_SGRA_TABLE_RESULTS.txt,1,59425.001908363,59425.0477052716,3956.8608,0.1031,0.0051,0.4952,0.0375,29.6751,1.678,7.4997,0.4241,9.9426,0.5624,408.0,1.65217391304348,2,0.051100097221492786,0.05032931804820192
15045,15045_SGRA_TABLE_RESULTS.txt,1,56593.6715066504,56593.6981197756,2299.3632,0.0303,0.0038,0.0374,0.0122,4.4861,0.7313,1.951,0.318,2.5865,0.4216,69.706,1.17142857142857,2,0.03194843620288096,0.0014226577581973796
15045,15045_SGRA_TABLE_RESULTS.txt,2,56593.8274951275,56593.8384486763,946.4256,0.0278,0.0057,0.0408,0.0127,1.6666,0.4465,1.761,0.4718,2.3346,0.6255,26.353,1.63636363636364,1,0.03372060498534888,0.006450170107295156
5953,05953_SGRA_TABLE_RESULTS.txt,1,53581.9306907625,53581.9555373808,2146.7808,0.0518,0.0049,0.0894,0.0155,7.8006,0.8726,3.6336,0.4064,4.8173,0.5389,111.1687,1.30952380952381,2,0.05009578723987542,0.008857370358672487
15042,15042_SGRA_TABLE_RESULTS.txt,1,56516.3603274703,56516.3749291794,1261.6128,0.0266,0.005,0.0449,0.0135,2.2213,0.5183,1.7607,0.4109,2.3342,0.5447,33.5517,1.05263157894737,1,0.026808173796393248,0.006693086352934769
15042,15042_SGRA_TABLE_RESULTS.txt,2,56516.4086533693,56516.4446348164,3108.7584,0.0249,0.0031,0.0401,0.0125,5.0693,0.8025,1.6307,0.2581,2.1618,0.3422,77.4197,1.21951219512195,2,0.02515562216231875,0.00431204879931958
