obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct,fluence_err,fluence_ct,hardness_ratio,Shape
16508,16508_SGRA_TABLE_RESULTS.txt,1,56710.0215563601,56710.0467113822,2173.392,0.0244,0.0034,0.0389,0.0122,3.4273,8.7622,1.577,4.0316,1.9707,5.0381,53.0336,7.3895328,42.2638,3.5,1
16966,16966_SGRA_TABLE_RESULTS.txt,1,57156.5078461703,57156.5423475553,2980.9728000000000,0.056,0.0043,0.1414,0.0224,12.6771,15.2551,4.2527,5.1175,5.3145,6.3952,167.0,12.81818304,170.0,1.391304347826090,2
28231,28231_SGRA_TABLE_RESULTS.txt,1,60408.5664414409,60408.5897757658,2016.1440000000000,0.0188,0.0031,0.0441,0.0125,2.2425,7.2716,1.1123,3.6067,1.39,4.5072,38.0,6.2500464,38.0,1.0,1
14462,14462_SGRA_TABLE_RESULTS.txt,1,56207.1782699449,56207.1892292311,946.8576,0.0317,0.0058,0.0386,0.0112,2.8438,7.8723,3.0034,8.3141,3.7533,10.3899,30.0339,5.4918,29.8555,1.5217391304347800,1
14462,14462_SGRA_TABLE_RESULTS.txt,2,56208.1851883119,56208.2160148706,2663.4528,0.027,0.0032,0.0576,0.0135,6.5298,12.2263,2.4516,4.5904,3.0637,5.7365,72.0136,8.5230,71.5645,1.5333333333333300,2
26759,26759_SGRA_TABLE_RESULTS.txt,1,60052.4355408632,60052.4594135912,2062.6272,0.0169,0.0028,0.0291,0.0102,2.0666,6.9299,1.0019,3.3598,1.2521,4.1986,34.9014,5.7754,34.0856,0.7,1
13016,13016_SGRA_TABLE_RESULTS.txt,1,55649.448992503,55649.4836964947,2998.4256,0.0157,0.0023,0.0205,0.0083,3.059,8.1494,1.0202,2.7179,1.2749,3.3965,47.0131,6.8964,40.3909,1.411764705882350,1
14465,14465_SGRA_TABLE_RESULTS.txt,1,56126.9811903736,56127.0391365984,5006.5344,0.0186,0.0019,0.0387,0.0112,7.3823,14.2774,1.4745,2.8518,1.8427,3.5638,93.1347,9.5124,88.79,1.8857142857142900,2
14465,14465_SGRA_TABLE_RESULTS.txt,2,56127.1819307434,56127.2080320547,2255.1264,0.0199,0.0029,0.0315,0.0101,3.6776,9.6519,1.6308,4.28,2.0379,5.3486,44.9408,6.5399,42.9358,1.4615384615384600,1
14439,14439_SGRA_TABLE_RESULTS.txt,1,56147.1355061155,56147.1509915782,1337.904,0.0279,0.0045,0.0349,0.0107,3.3584,8.7462,2.5102,6.5373,3.1369,8.1694,37.3289,6.020568,36.9414,2.1538461538461500,1
13849,13849_SGRA_TABLE_RESULTS.txt,1,56060.1421631247,56060.1703578731,2436.0480000000000,0.0583,0.0049,0.0773,0.0155,14.5453,17.0638,5.9709,7.0047,7.4616,8.7536,141.9323,11.9366352,142.3664,1.8588235294117600,1
13847,13847_SGRA_TABLE_RESULTS.txt,1,56048.5152617972,56048.5528192105,3244.9248000000000,0.0246,0.0027,0.046,0.0122,6.8451,12.8306,2.1095,3.954,2.6361,4.9413,79.9236,8.76129696,78.7702,1.6470588235294100,2
13840,13840_SGRA_TABLE_RESULTS.txt,1,56136.6320188671,56136.6591742431,2346.192,0.0201,0.0029,0.0244,0.0089,3.5836,9.8692,1.5274,4.2065,1.9088,5.2567,47.1377,6.8039568,47.2424,1.1408450704225400,1
26760,26760_SGRA_TABLE_RESULTS.txt,1,60054.4141706355,60054.4676307197,4618.944,0.0314,0.0026,0.044,0.0125,10.1666,14.3072,2.2011,3.0975,2.7506,3.8709,145.1766,12.0092544,146.784,1.0138888888888900,2
14463,14463_SGRA_TABLE_RESULTS.txt,1,56216.2380469755,56216.2441176205,524.5344,0.1307,0.0157,0.0921,0.0169,7.6458,11.8493,14.5763,22.5901,18.2156,28.2301,68.5825,8.2352,68.9799,1.96875,1
9173,09173_SGRA_TABLE_RESULTS.txt,1,54673.90630603,54674.0403465407,11581.142400000000,0.009,0.0009,0.0284,0.0095,5.0848,13.4304,0.4391,1.1597,0.5487,1.4492,103.7694,10.42302816,98.3101,1.5789473684210500,1
20346,20346_SGRA_TABLE_RESULTS.txt,1,58232.2094138099,58232.2480280975,3336.336,0.1211,0.006,0.3224,0.0327,32.769,23.4325,9.8219,7.0234,12.2741,8.777,404.0,20.018,405.0,1.2976190476190500,2
6363,06363_SGRA_TABLE_RESULTS.txt,1,53933.2490317925,53933.280367879,2707.4304,0.0683,0.005,0.1494,0.0185,14.6494,15.8788,5.4108,5.8649,6.7617,7.3292,185.0,13.537152,190.0,2.627906976744190,1
21454,21454_SGRA_TABLE_RESULTS.txt,1,58572.2499136315,58572.2652645892,1326.3264,0.1078,0.009,0.2044,0.0265,11.3021,13.9421,8.5214,10.5118,10.6489,13.1363,143.0,11.9369376,143.0,1.6346153846153800,1
21454,21454_SGRA_TABLE_RESULTS.txt,2,58572.4597801484,58572.4824415204,1957.9968,0.0373,0.0044,0.1187,0.0205,5.0565,10.0408,2.5825,5.1281,3.2273,6.4084,73.0,8.6152,74.0,1.4333333333333300,2
10556,10556_SGRA_TABLE_RESULTS.txt,1,54969.1157869404,54969.1296568924,1198.368,0.0469,0.0062,0.0592,0.0131,4.2064,8.7161,3.5101,7.2733,4.3865,9.0893,56.2129,7.4298816,56.7267,1.380952380952380,1
10556,10556_SGRA_TABLE_RESULTS.txt,2,54969.4084185051,54969.4500645368,3598.2144000000000,0.0268,0.0027,0.0502,0.0122,6.5416,11.4831,1.818,3.1913,2.2719,3.9881,96.4725,9.71517888,96.7428,1.3076923076923100,2
10556,10556_SGRA_TABLE_RESULTS.txt,3,54969.9662496287,54969.9855184027,1664.8416000000000,0.1274,0.0087,0.1673,0.0194,17.1214,16.9467,10.2841,10.1792,12.8517,12.7206,212.0337,14.48412192,211.7092,2.604651162790700,1
10556,10556_SGRA_TABLE_RESULTS.txt,4,54970.0408161481,54970.0476329314,588.9888,0.1087,0.0136,0.1113,0.0169,5.1306,9.3072,8.7108,15.8019,10.8856,19.7472,64.0079,8.0102,64.2609,1.8823529411764700,1
18732,18732_SGRA_TABLE_RESULTS.txt,1,57587.6279846369,57587.6576560533,2563.5744,0.0222,0.0029,0.0486,0.0133,3.6957,8.7385,1.4416,3.4087,1.8016,4.2598,56.7882,7.4344,56.4026,1.0740740740740700,2
4684,04684_SGRA_TABLE_RESULTS.txt,1,53193.1433966282,53193.1634999663,1736.8992000000000,0.0789,0.0067,0.1368,0.0182,10.6818,13.5901,6.1499,7.8244,7.6854,9.7779,136.9803,11.63722464,136.8248,1.85,1
15041,15041_SGRA_TABLE_RESULTS.txt,1,56500.1507258236,56500.1627820644,1041.6384,0.0306,0.0058,0.0396,0.0127,2.33,7.1112,2.2368,6.8269,2.7953,8.5314,31.9111,6.0415,32.2653,1.0555555555555600,1
15041,15041_SGRA_TABLE_RESULTS.txt,2,56500.464956453,56500.474215574,799.9776000000000,0.0288,0.0065,0.0375,0.0127,1.6676,6.0687,2.0846,7.5861,2.605,9.4801,23.0611,5.1998544,23.3276,2.0,1
11843,11843_SGRA_TABLE_RESULTS.txt,1,55329.1538426927,55329.1949982424,3555.8784,0.1526,0.0065,0.2504,0.0214,43.8605,27.1029,12.3346,7.622,15.4142,9.525,542.7587,23.1132,529.4651,2.1982758620689700,1
22230,22230_SGRA_TABLE_RESULTS.txt,1,58682.1350683115,58682.1485208444,1162.3392,0.0633,0.0074,0.1144,0.0201,5.6531,9.956,4.8635,8.5655,6.0778,10.704,73.6147,8.6013,73.1168,0.8947368421052630,1
31022,31022_SGRA_TABLE_RESULTS.txt,1,60899.1322780928,60899.1652226166,2846.4480000000000,0.0186,0.0026,0.0406,0.012,3.0723,8.6223,1.0794,3.0291,1.3488,3.7854,53.0,7.4007648,54.0,0.7419354838709680,1
23665,23665_SGRA_TABLE_RESULTS.txt,1,59314.3525806787,59314.3741622918,1864.6848,0.0327,0.0042,0.0487,0.0133,4.2465,9.1625,2.2773,4.9137,2.8459,6.1405,61.009,7.8317,60.172,1.1851851851851900,1
13838,13838_SGRA_TABLE_RESULTS.txt,1,56141.0172883562,56141.0524231841,3035.6640000000000,0.057,0.0043,0.1415,0.0205,17.8455,18.93,5.8786,6.2359,7.3463,7.7928,173.0,13.0533552,174.0,1.6666666666666700,1
20446,20446_SGRA_TABLE_RESULTS.txt,1,58685.0777559162,58685.0882939269,910.4832,0.0278,0.0055,0.0369,0.0116,1.7213,5.8252,1.8905,6.3979,2.3625,7.9953,25.3211,5.0077,24.961,1.0833333333333300,1
13854,13854_SGRA_TABLE_RESULTS.txt,1,56006.4868983093,56006.4946421282,669.0816,0.0552,0.009,0.0582,0.0135,3.667,8.6751,5.4807,12.9657,6.8491,16.2028,36.9398,6.0217344,37.5807,1.7307692307692300,1
13854,13854_SGRA_TABLE_RESULTS.txt,2,56006.5288187797,56006.5381451058,805.7664,0.0578,0.0084,0.0663,0.0143,4.658,9.8155,5.7809,12.1815,7.2242,15.2229,46.5386,6.7684,47.4394,1.6451612903225800,1
13854,13854_SGRA_TABLE_RESULTS.txt,3,56006.5856100532,56006.5968083155,967.5072,0.0545,0.0075,0.0703,0.0147,5.2227,10.4587,5.3981,10.81,6.7458,13.5089,52.7376,7.2563,53.6215,1.2,1
13854,13854_SGRA_TABLE_RESULTS.txt,4,56006.6828494131,56006.6875037033,402.10560000000000,0.1118,0.0165,0.1076,0.0179,4.8861,9.5433,12.1512,23.7334,15.185,29.6589,44.9592,6.6347424,45.7033,1.3214285714285700,1
19703,19703_SGRA_TABLE_RESULTS.txt,1,57949.9606547532,57950.0140103535,4609.9584,0.0137,0.0017,0.0262,0.0097,3.4803,9.3876,0.755,2.0364,0.9434,2.5448,63.0744,7.8369,64.0102,0.96875,1
19703,19703_SGRA_TABLE_RESULTS.txt,2,57950.5536556274,57950.5658856855,1056.672,0.0353,0.0058,0.0489,0.0133,2.7223,7.0853,2.5763,6.7053,3.2195,8.3794,37.3144,6.1286976,37.7971,1.6428571428571400,1
13839,13839_SGRA_TABLE_RESULTS.txt,1,56132.3935211684,56132.4034276333,855.8784000000000,0.0527,0.0078,0.0608,0.0139,4.6435,9.6348,5.4254,11.2572,6.7799,14.0678,45.1008,6.67585152,45.2086,2.44,2
13839,13839_SGRA_TABLE_RESULTS.txt,2,56134.0058681187,56134.0415119547,3079.6416000000000,0.0941,0.0055,0.1611,0.0216,31.7336,24.4263,10.3043,7.9315,12.877,9.9118,289.7729,16.9380288,288.2352,1.9416058394160600,2
20041,20041_SGRA_TABLE_RESULTS.txt,1,57854.3545234889,57854.3809904317,2286.7488000000000,0.1032,0.0067,0.1701,0.0244,18.5027,17.9522,8.0913,7.8505,10.1114,9.8106,236.0,15.32121696,238.0,1.2549019607843100,1
13852,13852_SGRA_TABLE_RESULTS.txt,1,56143.3215321682,56143.3356009205,1215.5616,0.0537,0.0066,0.0727,0.0151,6.6903,11.5857,5.5039,9.5312,6.878,11.9108,65.2697,8.0227,65.5364,1.9285714285714300,1
13852,13852_SGRA_TABLE_RESULTS.txt,2,56144.3340669426,56144.3540238093,1724.2848,0.023,0.0036,0.0279,0.0096,3.2513,8.9937,1.8856,5.2159,2.3564,6.5181,39.6489,6.2074,40.1452,2.1578947368421100,1
14468,14468_SGRA_TABLE_RESULTS.txt,1,56230.2939987989,56230.3345487205,3503.5200000000000,0.0254,0.0027,0.0467,0.0122,8.0062,13.5205,2.2852,3.8591,2.8557,4.8226,88.9228,9.459504,89.3155,1.9240506329113900,2
14468,14468_SGRA_TABLE_RESULTS.txt,2,56231.5642457846,56231.5894560817,2178.144,0.0311,0.0038,0.0544,0.0131,6.4417,11.775,2.9574,5.406,3.6958,6.7557,67.7075,8.2769472,67.9531,1.5932203389830500,2
