obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct
16508,16508_SGRA_TABLE_RESULTS.txt,1,56710.0215563601,56710.0467113822,2173.392,0.0209,0.0032,0.0392,0.0122,3.0366,8.1922,1.3972,3.7693,1.746,4.7104,45.3968
16966,16966_SGRA_TABLE_RESULTS.txt,1,57156.5078461703,57156.5238423402,1382.0544,0.0916,0.0082,0.1426,0.0224,10.0408,13.212,7.2651,9.5597,9.079,11.9465,126.5501
28231,28231_SGRA_TABLE_RESULTS.txt,1,60408.5664414409,60408.5768560903,899.8560000000001,0.0345,0.0062,0.0408,0.012,2.153,6.4999,2.3927,7.2233,2.99,9.0267,31.001
14462,14462_SGRA_TABLE_RESULTS.txt,1,56207.1782699449,56207.1892292311,946.8576,0.0317,0.0058,0.0389,0.0112,2.8246,7.8725,2.9832,8.3143,3.728,10.3901,29.9992
14462,14462_SGRA_TABLE_RESULTS.txt,2,56208.1855341209,56208.2160148706,2633.5584,0.0258,0.0031,0.0536,0.0131,6.0369,11.8841,2.2923,4.5126,2.8646,5.6392,68.0006
14465,14465_SGRA_TABLE_RESULTS.txt,1,56126.9811903736,56127.0330656925,4482.0,0.019,0.0021,0.0389,0.0112,6.9439,13.5994,1.5493,3.0342,1.9361,3.7918,84.9995
14439,14439_SGRA_TABLE_RESULTS.txt,1,56147.1366330265,56147.1509915782,1240.6176,0.0274,0.0047,0.0351,0.0107,3.071,8.3833,2.4754,6.7574,3.0934,8.4445,34.0011
13849,13849_SGRA_TABLE_RESULTS.txt,1,56060.1421631247,56060.1703578731,2436.0480000000002,0.0546,0.0047,0.0771,0.0155,13.5212,16.5736,5.5505,6.8035,6.9363,8.5021,133.0012
13847,13847_SGRA_TABLE_RESULTS.txt,1,56048.5152617972,56048.5528192105,3244.9248000000002,0.0237,0.0027,0.0427,0.0117,6.562,12.6688,2.0222,3.9042,2.5271,4.8789,76.9992
26760,26760_SGRA_TABLE_RESULTS.txt,1,60054.4141706355,60054.4676307197,4618.944,0.031,0.0026,0.0439,0.0125,9.8237,14.2345,2.1268,3.0818,2.6578,3.8512,142.9998
14463,14463_SGRA_TABLE_RESULTS.txt,1,56216.2380469755,56216.2441176205,524.5344,0.1163,0.0149,0.0945,0.0169,6.7436,11.2243,12.8564,21.3986,16.0662,26.7411,61.0036
20346,20346_SGRA_TABLE_RESULTS.txt,1,58232.2094138099,58232.2480280975,3336.336,0.1163,0.0059,0.323,0.0327,31.4483,22.965,9.426,6.8833,11.7794,8.6019,388.0
6363,06363_SGRA_TABLE_RESULTS.txt,1,53933.2490317925,53933.2716795654,1956.7872000000002,0.0675,0.0059,0.1372,0.0179,10.3552,13.4033,5.2919,6.8497,6.6131,8.5598,132.0013
21454,21454_SGRA_TABLE_RESULTS.txt,1,58572.2499136315,58572.2582246956,718.0704000000001,0.1671,0.0153,0.217,0.0273,9.7009,12.7513,13.5097,17.7577,16.8826,22.1912,119.9991
21454,21454_SGRA_TABLE_RESULTS.txt,2,58572.4597801484,58572.4636089445,330.8256,0.1209,0.0191,0.1218,0.0208,3.1825,7.3597,9.6199,22.2464,12.0217,27.8006,40.0021
10556,10556_SGRA_TABLE_RESULTS.txt,1,54969.1157869404,54969.1296568924,1198.368,0.0409,0.0058,0.0569,0.0131,3.5933,8.1554,2.9985,6.8054,3.7471,8.5045,49.0002
10556,10556_SGRA_TABLE_RESULTS.txt,2,54969.4084185051,54969.4500645368,3598.2144000000003,0.0242,0.0026,0.0474,0.0122,5.7265,10.9433,1.5915,3.0413,1.9888,3.8006,86.9999
10556,10556_SGRA_TABLE_RESULTS.txt,3,54969.9654679711,54969.9855184027,1732.32,0.0906,0.0072,0.1837,0.0194,12.4492,14.5893,7.1865,8.4218,8.9807,10.5245,156.9966
10556,10556_SGRA_TABLE_RESULTS.txt,4,54970.0408161481,54970.0476329314,588.9888,0.0849,0.012,0.1256,0.0172,3.9484,8.2273,6.7037,13.9685,8.3774,17.456,50.0016
18732,18732_SGRA_TABLE_RESULTS.txt,1,57587.6279846369,57587.6576560533,2563.5744,0.0222,0.0029,0.0451,0.0127,3.7091,8.8158,1.4468,3.4389,1.8081,4.2975,56.9992
4684,04684_SGRA_TABLE_RESULTS.txt,1,53193.1433966282,53193.1627183719,1669.4207999999999,0.0665,0.0063,0.1344,0.0179,8.5037,12.2821,5.0938,7.3571,6.3655,9.1939,111.0015
15041,15041_SGRA_TABLE_RESULTS.txt,1,56500.1507258236,56500.1627820644,1041.6384,0.0318,0.0059,0.0398,0.0127,2.363,7.2067,2.2686,6.9186,2.835,8.646,33.1271
11843,11843_SGRA_TABLE_RESULTS.txt,1,55329.1538426927,55329.1949982424,3555.8784,0.1041,0.0054,0.2746,0.0214,29.3224,22.4037,8.2462,6.3005,10.305,7.8735,370.004
22230,22230_SGRA_TABLE_RESULTS.txt,1,58682.1350683115,58682.1485208444,1162.3392,0.0637,0.0074,0.1145,0.0201,5.689,10.0237,4.8944,8.6237,6.1164,10.7768,74.0026
31022,31022_SGRA_TABLE_RESULTS.txt,1,60899.1358604556,60899.1688024069,3735.0719999999997,0.0169,0.0021,0.0442,0.0125,3.4735,9.4756,0.93,2.5369,1.1622,3.1703,63.0
23665,23665_SGRA_TABLE_RESULTS.txt,1,59314.3525806787,59314.3741622918,1864.6848,0.0311,0.0041,0.0489,0.0133,3.989,8.9399,2.1392,4.7943,2.6733,5.9913,58.001
13838,13838_SGRA_TABLE_RESULTS.txt,1,56141.0172883562,56141.0341012231,1452.6432000000002,0.0874,0.0078,0.1439,0.0205,13.8063,16.192,9.5042,11.1466,11.8772,13.9296,127.001
13854,13854_SGRA_TABLE_RESULTS.txt,1,56006.4868983093,56006.4946421282,669.0816,0.0523,0.0088,0.0567,0.0135,3.4886,8.5525,5.214,12.7825,6.5158,15.9739,35.0008
13854,13854_SGRA_TABLE_RESULTS.txt,2,56006.5288187797,56006.5381451058,805.7664,0.0546,0.0082,0.0639,0.0143,4.419,9.5994,5.4842,11.9134,6.8534,14.8878,43.9985
13854,13854_SGRA_TABLE_RESULTS.txt,3,56006.5856100532,56006.5968083155,967.5072,0.0517,0.0073,0.0677,0.0147,4.9723,10.2546,5.1393,10.599,6.4224,13.2453,49.9988
13854,13854_SGRA_TABLE_RESULTS.txt,4,56006.6828494131,56006.6875037033,402.10560000000004,0.0995,0.0157,0.1057,0.0179,4.3314,9.1001,10.7718,22.6312,13.4612,28.2815,39.9975
19703,19703_SGRA_TABLE_RESULTS.txt,1,57949.9606547532,57950.0140103535,4609.9584,0.0132,0.0017,0.0257,0.0097,3.3571,9.2383,0.7282,2.004,0.9101,2.5043,61.0005
19703,19703_SGRA_TABLE_RESULTS.txt,2,57950.5518844129,57950.5658856855,1209.6864,0.0331,0.0052,0.0483,0.0133,2.9011,7.3689,2.3982,6.0916,2.9969,7.6125,39.9992
13839,13839_SGRA_TABLE_RESULTS.txt,1,56132.3935211684,56132.4034276333,855.8783999999999,0.0479,0.0075,0.0571,0.0135,4.1623,9.1969,4.8632,10.7456,6.0774,13.4285,40.9981
13839,13839_SGRA_TABLE_RESULTS.txt,2,56134.0058681187,56134.0415119547,3079.6416000000004,0.0857,0.0053,0.1621,0.0216,28.7047,23.3476,9.3208,7.5813,11.6479,9.4741,264.0012
20041,20041_SGRA_TABLE_RESULTS.txt,1,57854.3545234889,57854.3809904317,2286.7488000000003,0.1006,0.0066,0.172,0.0244,18.0087,17.7247,7.8752,7.7511,9.8414,9.6863,230.0
13852,13852_SGRA_TABLE_RESULTS.txt,1,56143.3215321682,56143.3356009205,1215.5616,0.0494,0.0064,0.0723,0.0151,6.0534,11.1322,4.98,9.1581,6.2233,11.4446,60.0011
13852,13852_SGRA_TABLE_RESULTS.txt,2,56144.3340669426,56144.3540238093,1724.2848,0.0244,0.0038,0.0277,0.0096,3.5059,9.3315,2.0333,5.4118,2.5409,6.763,42.0003
