obs_id,filename,flare_number,start_mjd,end_mjd,duration_s,rate_mean,rate_mean_err,rate_max,rate_max_err,energy_1e37erg,energy_err,luminosity_1e34,luminosity_err,flux_1e_minus12,flux_err,fluence_ct,Shape,hardness_ratio,hardness_ratio_err,median_rate,median_rate_err,snr
15043,15043_SGRA_TABLE_RESULTS.txt,1,56549.0852479914,56549.1493475096,5538.1536,0.5013,0.0095,1.9007,0.0622,230.733,61.3648,41.6624,11.0804,52.0642,13.847,2776.0,3,1.7322834645669300,0.0682535905589725,0.6794334676081450,0.17258515204244900,110.09254188252600
20751,20751_SGRA_TABLE_RESULTS.txt,1,58715.156961405,58715.2262554391,5986.9152,0.1928,0.0057,0.8974,0.0493,94.7433,39.6902,15.8251,6.6295,19.7761,8.2847,1154.0,3,1.5418502202643200,0.0929112162298349,0.11748846516225600,0.08289349129055900,56.559723197599900
16218,16218_SGRA_TABLE_RESULTS.txt,1,56950.5521584909,56950.6266658518,6437.4048,0.126,0.0044,0.6327,0.0436,65.7471,33.4079,10.2133,5.1897,12.7632,6.4854,811.0,3,1.5108359133126900,0.1083718668191050,0.05888767178543000,0.051855901688200600,29.373992231479800
14392,14392_SGRA_TABLE_RESULTS.txt,2,55966.5986448471,55966.6639426611,5641.6608,0.1319,0.0048,0.374,0.0291,82.8194,39.4012,14.68,6.984,18.3451,8.7277,744.0,3,1.926345609065160,0.1263695849329190,0.1623257978592780,0.029691427819949300,29.05878558878950
1561,01561_SGRA_TABLE_RESULTS.txt,2,51844.1581720461,51844.2795123523,10483.8624,0.0643,0.0025,0.3671,0.0226,52.1277,31.0164,4.9722,2.9585,6.2136,3.6971,674.0,3,1.8927038626609400,0.1532905425916320,0.07084356028285730,0.018860916421604600,16.142651079501500
22595,22595_SGRA_TABLE_RESULTS.txt,3,59386.1312701681,59386.1857061669,4703.2704,0.0936,0.0045,0.2598,0.0287,33.1101,25.5572,7.0398,5.4339,8.7974,6.7906,440.0,3,1.2448979591836700,0.1194090228354080,0.08168532124441190,0.020367957326319700,3.7875368359168300
13851,13851_SGRA_TABLE_RESULTS.txt,1,56217.8122561849,56217.8742720065,5358.1824,0.0761,0.0038,0.2205,0.0248,44.5089,29.0929,8.3067,5.4296,10.3806,6.7853,408.0,3,1.818181818181820,0.1489351371377390,0.06840314317734900,0.019970172354062000,16.736626170963800
20346,20346_SGRA_TABLE_RESULTS.txt,1,58232.2094138099,58232.2480280975,3336.336,0.1163,0.0059,0.3229,0.0327,31.4483,22.965,9.426,6.8833,11.7794,8.6019,388.0,2,1.2958579881656800,0.1326807333560390,0.11497917865838000,0.036575161068539000,30.98410268430000
11843,11843_SGRA_TABLE_RESULTS.txt,1,55329.1538426927,55329.1949982424,3555.8784,0.1041,0.0054,0.2705,0.0214,29.3224,22.4037,8.2462,6.3005,10.305,7.8735,370.004,3,2.1623931623931600,0.2417588215302060,0.16079636510371900,0.020781219989544400,32.09504981019980
23739,23739_SGRA_TABLE_RESULTS.txt,1,59425.001908363,59425.0477052716,3956.8608,0.0933,0.0049,0.4997,0.0375,29.2109,22.4897,7.3823,5.6837,9.2255,7.1028,369.0,2,1.5804195804195800,0.1688742162475940,0.051329688387387,0.05066544393619890,25.186068747546800
22594,22594_SGRA_TABLE_RESULTS.txt,1,59385.1181459709,59385.1922850757,6405.6096,0.0498,0.0028,0.2062,0.0268,24.9795,21.2312,3.8996,3.3145,4.8732,4.142,319.0,2,1.1849315068493200,0.1331646982811570,0.03785527326895380,0.01636478868220350,11.412434250170500
13843,13843_SGRA_TABLE_RESULTS.txt,1,56223.3782249419,56223.4728285995,8173.6992,0.0329,0.002,0.1309,0.0197,25.3829,23.8623,3.1054,2.9194,3.8808,3.6483,269.0,2,1.628691983122360,0.1344049168876800,0.020662740323242600,0.007850171081323390,7.265740402563410
13839,13839_SGRA_TABLE_RESULTS.txt,2,56134.0058681187,56134.0415119547,3079.6416,0.0857,0.0053,0.1609,0.0216,28.7047,23.3476,9.3208,7.5813,11.6479,9.4741,264.0012,2,1.9416058394160600,0.2041796667505950,0.08030283554898300,0.015037155470898500,14.963242751745800
3393,03393_SGRA_TABLE_RESULTS.txt,1,52422.637211519,52422.6752940158,3290.3712,0.0802,0.0049,0.3548,0.0224,20.8762,18.9357,6.3446,5.7549,7.9287,7.1917,264.0,2,1.7789473684210500,0.22811818515925,0.09487536544954090,0.034010017754068400,13.825078428105400
13845,13845_SGRA_TABLE_RESULTS.txt,1,56067.8692229492,56068.0313904359,14011.2288,0.017,0.0011,0.1085,0.0179,17.4727,22.6262,1.247,1.6149,1.5584,2.018,238.0,1,1.4130434782608700,0.09625790975004,0.010441483329048100,0.004192288112038820,3.5978545399305800
20041,20041_SGRA_TABLE_RESULTS.txt,1,57854.3545234889,57854.3809904317,2286.7488,0.1006,0.0066,0.1711,0.0244,18.0087,17.7247,7.8752,7.7511,9.8414,9.6863,230.0,2,1.2549019607843100,0.1665592072779680,0.11425862236554600,0.016632153273486600,17.63600450883080
18055,18055_SGRA_TABLE_RESULTS.txt,2,57431.6501269879,57431.6753327827,2177.7984,0.0937,0.0062,0.1451,0.0214,13.6902,15.7593,6.2863,7.2364,7.8558,9.0431,204.0282,2,1.368421052631580,0.2065059330712880,0.09768355020261620,0.011023915079473600,4.6022724609272100
14432,14432_SGRA_TABLE_RESULTS.txt,2,56139.3783476651,56139.420952753,3681.072,0.0513,0.0037,0.1142,0.0185,19.7131,19.802,5.3553,5.3794,6.6923,6.7225,189.0,2,1.7384615384615400,0.1913657404265780,0.05717177168330980,0.00918315798395897,10.44839397597670
15042,15042_SGRA_TABLE_RESULTS.txt,1,56516.357766536,56516.4875383058,11212.3008,0.0159,0.0013,0.0486,0.014,10.8672,18.6514,0.9692,1.6635,1.2112,2.0788,178.7952,1,0.9736842105263160,0.1298361029034120,0.013031650301494200,0.002524256982240550,2.710954992867990
13842,13842_SGRA_TABLE_RESULTS.txt,3,56131.498799817,56131.5874654235,7660.7424,0.0218,0.0017,0.0426,0.0117,13.7684,18.9114,1.7973,2.4686,2.246,3.0849,167.0007,2,1.8588235294117600,0.1768024561132730,0.02275579564050810,0.002500868742135900,2.8230975999704700
18055,18055_SGRA_TABLE_RESULTS.txt,1,57431.506776851,57431.5521702619,3922.0416,0.0423,0.0033,0.133,0.0205,7.694,15.5038,1.9617,3.953,2.4515,4.9399,166.0,2,1.1012658227848100,0.1711484748567940,0.04288551446608040,0.011906034242624300,2.0303772674130000
13838,13838_SGRA_TABLE_RESULTS.txt,1,56141.0172883562,56141.0524958884,3041.9712,0.0539,0.0042,0.1439,0.0205,16.8961,18.4339,5.5543,6.0599,6.9411,7.5728,164.0,2,1.675,0.193231833988778,0.04430891617942740,0.015821345793396300,10.389979819222900
16966,16966_SGRA_TABLE_RESULTS.txt,1,57156.5078461703,57156.5418728009,2939.8464,0.0558,0.0044,0.1427,0.0224,12.5015,15.108,4.2524,5.139,5.3141,6.4221,164.0,2,1.411764705882350,0.2237660375671240,0.039728434472518300,0.017841739121694800,12.643869040389600
3393,03393_SGRA_TABLE_RESULTS.txt,2,52423.2419681175,52423.3009367529,5094.9216,0.031,0.0025,0.1007,0.0162,11.2095,14.7384,2.2001,2.8928,2.7494,3.615,158.001,2,2.0384615384615400,0.3451250325898770,0.03313111699594360,0.005901851505512830,1.5453297963593400
10556,10556_SGRA_TABLE_RESULTS.txt,3,54969.9654679711,54969.9855184027,1732.32,0.0906,0.0072,0.1785,0.0194,12.4492,14.5893,7.1865,8.4218,8.9807,10.5245,156.9966,1,2.5681818181818200,0.456362586841505,0.13463649098343800,0.01864627506134200,14.038832443814500
6363,06363_SGRA_TABLE_RESULTS.txt,1,53933.2490317925,53933.280367879,2707.4304,0.0558,0.0045,0.1378,0.0179,11.6636,14.3651,4.308,5.3058,5.3836,6.6305,151.0,1,2.5952380952381000,0.4713329342511900,0.06919233000617160,0.015375222743213000,15.118377440011400
