,id,start_mjd,end_mjd,fluence
1,16966,57156.5078461703,57156.5423475553,170.0
10,13849,56060.1421631247,56060.1703578731,142.3664
13,26760,60054.4141706355,60054.4676307197,146.784
16,20346,58232.2094138099,58232.2480280975,405.0
17,6363,53933.2490317925,53933.280367879,190.0
18,21454,58572.2499136315,58572.2652645892,143.0
22,10556,54969.9662496287,54969.9855184027,211.7092
25,4684,53193.1433966282,53193.1634999663,136.8248
28,11843,55329.1538426927,55329.1949982424,529.4651
32,13838,56141.0172883562,56141.0524231841,174.0
41,13839,56134.0058681187,56134.0415119547,288.2352
42,20041,57854.3545234889,57854.3809904317,238.0
47,22594,59385.1461599711,59385.1922850757,304.0
49,18055,57431.506776851,57431.5521702619,170.0
50,18055,57431.6501269879,57431.6753327827,179.5897
51,13845,56067.8692229492,56068.0313904359,240.0
52,13842,56130.1918448833,56130.2294147132,126.1571
54,13842,56131.498799817,56131.5874654235,169.044
59,14432,56139.3750400662,56139.420952753,209.0
60,22592,59357.2033116202,59357.2601579368,125.0
62,22595,59386.0852738163,59386.1857061669,587.0
64,22937,59082.237694658,59082.3062533374,106.3312
66,13843,56223.3782249419,56223.4728285995,281.0
67,3393,52422.637211519,52422.6752940158,348.0
68,3393,52423.2387870099,52423.3009367529,181.5066
71,16218,56950.5521584909,56950.6266658518,904.0
75,23739,59425.001908363,59425.0477052716,408.0
78,5953,53581.9306907625,53581.9555373808,111.1687
82,1561,51844.1588659553,51844.2795123523,975.0
86,14392,55966.5986448471,55966.6639426611,941.0
87,15043,56549.0852479914,56549.1493475096,3826.0
89,20751,58715.156961405,58715.2262554391,1352.0
94,13851,56217.8122561849,56217.8742720065,458.0
