obs_id,mjd,rate_1e-3_ct_s,rate_err_1e-3_ct_s,file
16508,56709.482256944444,142.034,2.01,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/16508/repro/Results/16508_MAGNETAR_TABLE_RESULTS.txt
16966,57156.37069444444,39.009,1.247,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/16966/repro/Results/16966_MAGNETAR_TABLE_RESULTS.txt
18058,57675.44740740741,11.808,0.686,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/18058/repro/Results/18058_MAGNETAR_TABLE_RESULTS.txt
16597,56842.87244212963,85.163,2.166,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/16597/repro/Results/16597_MAGNETAR_TABLE_RESULTS.txt
18056,57432.612291666665,17.272,0.848,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/18056/repro/Results/18056_MAGNETAR_TABLE_RESULTS.txt
18057,57669.79479166667,11.929,0.69,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/18057/repro/Results/18057_MAGNETAR_TABLE_RESULTS.txt
16215,56854.95232638889,78.811,1.313,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/16215/repro/Results/16215_MAGNETAR_TABLE_RESULTS.txt
16212,56751.10340277778,112.192,1.976,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/16212/repro/Results/16212_MAGNETAR_TABLE_RESULTS.txt
14946,56475.29023148148,335.977,4.092,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/14946/repro/Results/14946_MAGNETAR_TABLE_RESULTS.txt
16213,56775.118425925924,112.14,1.504,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/16213/repro/Results/16213_MAGNETAR_TABLE_RESULTS.txt
16214,56797.01846064815,103.572,1.438,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/16214/repro/Results/16214_MAGNETAR_TABLE_RESULTS.txt
15041,56500.06527777778,300.479,2.45,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/15041/repro/Results/15041_MAGNETAR_TABLE_RESULTS.txt
18055,57431.371469907404,16.911,0.821,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/18055/repro/Results/18055_MAGNETAR_TABLE_RESULTS.txt
16965,57251.44466435185,30.398,1.101,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/16965/repro/Results/16965_MAGNETAR_TABLE_RESULTS.txt
16964,57316.25052083333,23.009,0.96,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/16964/repro/Results/16964_MAGNETAR_TABLE_RESULTS.txt
16963,57066.02612268519,52.903,1.873,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/16963/repro/Results/16963_MAGNETAR_TABLE_RESULTS.txt
16211,56730.42915509259,130.743,1.685,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/16211/repro/Results/16211_MAGNETAR_TABLE_RESULTS.txt
16216,56871.151284722226,71.467,1.418,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/16216/repro/Results/16216_MAGNETAR_TABLE_RESULTS.txt
16218,56950.346087962964,64.044,1.264,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/16218/repro/Results/16218_MAGNETAR_TABLE_RESULTS.txt
14943,56582.65090277778,212.926,3.257,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/14943/repro/Results/14943_MAGNETAR_TABLE_RESULTS.txt
14944,56555.29366898148,236.339,3.432,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/14944/repro/Results/14944_MAGNETAR_TABLE_RESULTS.txt
16217,56899.20354166667,69.827,1.354,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/16217/repro/Results/16217_MAGNETAR_TABLE_RESULTS.txt
16210,56811.130219907405,94.013,2.298,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/16210/repro/Results/16210_MAGNETAR_TABLE_RESULTS.txt
14945,56535.42741898148,254.008,3.659,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/14945/repro/Results/14945_MAGNETAR_TABLE_RESULTS.txt
15045,56593.601493055554,202.735,2.012,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/15045/repro/Results/15045_MAGNETAR_TABLE_RESULTS.txt
15042,56515.960497685184,278.973,2.376,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/15042/repro/Results/15042_MAGNETAR_TABLE_RESULTS.txt
14704,56588.36806712963,207.555,2.276,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/14704/repro/Results/14704_MAGNETAR_TABLE_RESULTS.txt
14703,56447.370462962965,390.556,4.586,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/14703/repro/Results/14703_MAGNETAR_TABLE_RESULTS.txt
14702,56424.4483912037,467.567,5.57,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/14702/repro/Results/14702_MAGNETAR_TABLE_RESULTS.txt
15043,56549.003969907404,243.865,2.628,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/15043/repro/Results/15043_MAGNETAR_TABLE_RESULTS.txt
15044,56569.7241087963,221.783,2.171,/Users/zachsumners/Desktop/Research/Chandra/Chandra_SgrA-_FlarePipelineNoGithub/15044/repro/Results/15044_MAGNETAR_TABLE_RESULTS.txt
