obs_id,obs_date_iso,exposure_ks,qcr_1e3_cts,qcr_err,leak_frac,q_mag
14702,2013-05-12T10:45:41,15.071624183297157,556.21,6.075,0.013498738973713805,0.5391857814674033
14703,2013-06-04T08:53:28,18.56840285503864,447.457,4.909,0.015272612634922208,0.46233675755154546
14946,2013-07-02T06:57:56,20.069812534034252,380.38,4.353,0.016307731546020315,0.40465382049115484
15041,2013-07-27T01:34:00,50.066710315942764,334.738,2.586,0.015518132581429976,0.3627111666004998
15042,2013-08-11T23:03:07,49.420558458149436,318.996,2.541,0.014862378830173254,0.33862565444179527
14945,2013-08-31T10:15:29,20.067055920124055,277.503,3.823,0.012052369586904728,0.2751106752981659
15043,2013-09-14T00:05:43,50.06457088655233,263.829,2.731,0.015693817973636826,0.28028677130169727
14944,2013-09-20T07:02:53,20.068597549200057,257.48,3.582,0.019064303133933678,0.25495263103449706
15044,2013-10-04T17:22:43,47.06411911177635,239.699,2.257,0.017122025002909484,0.25841792984108114
14943,2013-10-17T15:37:18,20.06803432929516,225.258,3.35,0.0209350604900191,0.2340281763233179
15045,2013-10-28T14:26:09,50.06546438848972,218.63,2.09,0.01333411100021931,0.23294919227619085
16508,2014-02-21T11:34:27,47.87372511339188,149.454,2.061,0.013804425537610663,0.15460847158645818
16211,2014-03-14T10:17:59,46.07496125435829,135.512,1.715,0.012684785104956499,0.1441423802707166
16212,2014-04-04T02:28:54,50.075274497509,116.929,2.017,0.014925412496581985,0.1314211021375872
16213,2014-04-28T02:50:32,49.572162019491195,116.07,1.53,0.015087224080276185,0.12556853451403782
16214,2014-05-20T00:26:35,50.0713486071825,104.724,1.446,0.02034813565882916,0.11149984093849825
16210,2014-06-03T03:07:31,18.769239697158337,96.489,2.329,0.01696651498452751,0.10106921363472439
16597,2014-07-04T20:56:19,18.153465798556805,84.446,2.156,0.01363091264673166,0.08787190899699322
16215,2014-07-16T22:51:21,45.70435137230158,80.773,1.329,0.017912970444408646,0.08691686021357337
16216,2014-08-02T03:37:51,47.06615411168337,73.288,1.436,0.01829972491083351,0.08056644084987283
16217,2014-08-30T04:53:06,38.065289739191535,71.407,1.37,0.02072314799351796,0.07685000677417016
16218,2014-10-20T08:18:22,40.06623854577541,64.899,1.273,0.018153950523176424,0.06868805268142907
16963,2015-02-13T00:37:37,25.071793150544167,53.782,1.888,0.02572992475121927,0.051249937586045013
16966,2015-05-14T08:53:48,25.071313300251962,39.948,1.262,0.026814475599815788,0.03941816079855089
16965,2015-08-17T10:40:19,25.067749002575873,31.134,1.114,0.03174056431352644,0.03119535854850106
16964,2015-10-21T06:00:45,24.94639319217205,22.726,0.954,0.032397819102279006,0.024953858098073232
18057,2016-10-08T19:04:30,25.06599204647541,12.292,0.7,0.051946453634723444,0.01277613368956356
18058,2016-10-14T10:44:16,25.067065538167952,11.942,0.69,0.016404347766272514,0.01249746777928589
